area_id,map_level,map_name,map_id,map_source
ben_0_1,0,Bénin,quras3yeUV4,DHIS2
ben_1_1,1,Couffo,GCA1WtZzMFE,DHIS2
ben_1_2,1,Alibori,xgMZ7qmqWbc,DHIS2
ben_1_3,1,Littoral,RM9ZGyCwxsi,DHIS2
ben_1_4,1,Plateau,K4y5pfOzlUO,DHIS2
ben_1_5,1,Zou,bSOFlcllZdN,DHIS2
ben_1_6,1,Atacora,lf8Yhaf0vgb,DHIS2
ben_1_7,1,Collines,BbJY3nFjOQf,DHIS2
ben_1_8,1,Oueme,kSsbxxp3pdM,DHIS2
ben_1_9,1,Donga,xwW3FUVT8bG,DHIS2
ben_1_10,1,Atlantique,aYrFbueCTty,DHIS2
ben_1_11,1,Mono,nKu7JzWRtaD,DHIS2
ben_1_12,1,Borgou,c9KmVGZaDsR,DHIS2
ben_2_1,2,Tanguiéta-Cobly-Matéri,EmNWXHrxTdg,DHIS2
ben_2_2,2,Savè-Ouèssè,mmMTcekzYcZ,DHIS2
ben_2_3,2,Aplahoué-Djakotomey-Dogbo,aIibg7dVoG2,DHIS2
ben_2_4,2,Kandi-Gogounou-Ségbana,XhPZVJYdcK5,DHIS2
ben_2_5,2,Sakété-Ifangni,u829UG7t6iD,DHIS2
ben_2_6,2,Banikoara (ZS),MUBNZbC8qqj,DHIS2
ben_2_7,2,Savalou-Bantè,A2QAYmq81we,DHIS2
ben_2_8,2,Abomey-Calavi-So-ava,yAACTUVV5me,DHIS2
ben_2_9,2,Adjohoun-Bonou-Dangbo,XdTokj1QDtq,DHIS2
ben_2_10,2,Tchaourou (ZS),AyfwZMWSsCF,DHIS2
ben_2_11,2,Cotonou 2-Cotonou 3,uNcCSZ7ajwn,DHIS2
ben_2_12,2,Allada-Toffo-Zè,ss2OHIIGRW7,DHIS2
ben_2_13,2,N'Dali-Parakou,xzbAqKm7dAE,DHIS2
ben_2_14,2,Natitingou-Boukoumbé-Toucountouna,bz14VMJE2IA,DHIS2
ben_2_15,2,Nikki-kalalé-Pèrèrè,D5pqbGe6JiK,DHIS2
ben_2_16,2,Bohicon-Za-kpota-Zogbodomey,n37BWc38RCF,DHIS2
ben_2_17,2,Ouidah-Kpomassè-Tori-Bossito,xJvAtmUlnCS,DHIS2
ben_2_18,2,Bembèrèkè-Sinendé,jQP2iSuvoOW,DHIS2
ben_2_19,2,Covè-Zagnanado-Ouinhi,AXUH66FtjiB,DHIS2
ben_2_20,2,Malanville-Karimama,mRkKkpxcx4g,DHIS2
ben_2_21,2,Akpro-missérété-Avrankou-Adjarra,QAzup9tUArR,DHIS2
ben_2_22,2,Lokossa-Athiémè,XkSOsBm8Li3,DHIS2
ben_2_23,2,Cotonou 6,Sx516MIWygj,DHIS2
ben_2_24,2,Dassa-Glazoué,tJHdYCHIwJn,DHIS2
ben_2_25,2,Bassila (ZS),T7Tn08mvmsB,DHIS2
ben_2_26,2,Porto-Novo-Sèmè-kpodji-Aguégués,llQ0VwoIYcw,DHIS2
ben_2_27,2,Cotonou 1-Cotonou 4,VplZkJgk6iM,DHIS2
ben_2_28,2,Comè-Grand popo-Houèyogbé-Bopa,pprrRYIG3iV,DHIS2
ben_2_29,2,Klouékamè-Toviklin- Lalo,lxw5HEHSj7P,DHIS2
ben_2_30,2,Cotonou 5,JdHPW27cL7l,DHIS2
ben_2_31,2,Djougou-Ouaké-Copargo,Rzu7jBgS2HG,DHIS2
ben_2_32,2,Djidja-Abomey-Agbangnizoun,ymf52QE0Poh,DHIS2
ben_2_33,2,Kouandé-Péhunco-Kérou,VyMxheIf0eA,DHIS2
ben_2_34,2,Pobè-Kétou-Adja-ouèrè,uldAOggr330,DHIS2
