facility_id,facility_name,parent_area_id,lat,long,type,area_sort_order
ben_5_1,CS Niarosson,ben_4_126,,,health facility,
ben_5_2,CS Kety,ben_4_451,,,health facility,
ben_5_3,CS Monsey,ben_4_544,,,health facility,
ben_5_4,CS Mougnon,ben_4_534,7.23924341,2.0136944,health facility,
ben_5_5,CS N'Dahonta,ben_4_529,10.52816,1.11551,health facility,
ben_5_6,CS Morou,ben_4_497,,,health facility,
ben_5_7,CS Monsourou,ben_4_536,7.42602062,1.85605712,health facility,
ben_5_8,CS Sakasson,ben_4_501,,,health facility,
ben_5_9,CS Kere,ben_4_468,7.83693546,2.19473027,health facility,
ben_5_10,CS Monkpa,ben_4_540,7.92299154,2.06733883,health facility,
ben_5_11,CS Monkassa,ben_4_13,,,health facility,
ben_5_12,CS Molla,ben_4_265,,,health facility,
ben_5_13,CS Missinko,ben_4_486,,,health facility,
ben_5_14,CS Lissegazoun,ben_4_373,,,health facility,
ben_5_15,CS Missessin,ben_4_415,,,health facility,
ben_5_16,CS Lissezoun,ben_4_374,7.19609806,2.04491288,health facility,
ben_5_17,CS Lobogo,ben_4_376,6.61572268,1.90211786,health facility,
ben_5_18,CS Mededjonou,ben_4_543,6.50079,2.69774,health facility,
ben_5_19,CS Materi,ben_4_532,10.69485,1.06492,health facility,
ben_5_20,CS Saah,ben_4_224,,,health facility,
ben_5_21,CS Nagayile,ben_4_229,,,health facility,
ben_5_22,CS Nioro,ben_4_229,,,health facility,
ben_5_23,CS Lissazounme,ben_4_372,7.12047058,2.00543253,health facility,
ben_5_24,CS Kemon,ben_4_469,8.58833,2.55636,health facility,
ben_5_25,CS Katagon,ben_4_470,6.52187,2.59104,health facility,
ben_5_26,CS Ketou I,ben_4_334,7.35554,2.61409,health facility,
ben_5_27,CS Logou,ben_4_31,,,health facility,
ben_5_28,CS Kassakou,ben_4_471,11.07436,2.90182,health facility,
ben_5_29,CS Saint Michel,ben_4_394,,,health facility,
ben_5_30,CS Ketou II,ben_4_334,,,health facility,
ben_5_31,CS Kerou,ben_4_333,10.82488,2.10857,health facility,
ben_5_32,CS Saclo,ben_4_177,7.15114122,2.07922311,health facility,
ben_5_33,CS Karimama,ben_4_472,12.06671,3.17935,health facility,
ben_5_34,CS Ndali,ben_4_527,9.85825,2.71413,health facility,
ben_5_35,CS Karhum,ben_4_63,,,health facility,
ben_5_36,CS Kanderou,ben_4_59,,,health facility,
ben_5_37,CS Kaouté,ben_4_158,,,health facility,
ben_5_38,CS Sakabansi,ben_4_80,,,health facility,
ben_5_39,CS Kandi II,ben_4_461,,,health facility,
ben_5_40,CS Natta,ben_4_77,10.2659616666667,1.30822833333333,health facility,
ben_5_41,CS Kessounou,ben_4_467,,,health facility,
ben_5_42,CS Nikki,ben_4_80,9.935,3.21025,health facility,
ben_5_43,CS Natitingou,ben_4_106,10.3116,1.37809,health facility,
ben_5_44,CS Nassy,ben_4_506,,,health facility,
ben_5_45,CS Sagon,ben_4_149,7.15340291,2.4316953,health facility,
ben_5_46,CS Sado,ben_4_180,,,health facility,
ben_5_47,CS Naogon,ben_4_101,7.23147363,2.33834404,health facility,
ben_5_48,CS Neganzi,ben_4_295,,,health facility,
ben_5_49,CS Kaobagou,ben_4_474,,,health facility,
ben_5_50,CS Logozohe,ben_4_378,7.89558012,2.08338993,health facility,
ben_5_51,CS Kpanroun,ben_4_479,6.67522,2.36517,health facility,
ben_5_52,CS Lokogohoue,ben_4_380,6.76575,1.66347,health facility,
ben_5_53,CS Louho,ben_4_412,,,health facility,
ben_5_54,CS Malanville,ben_4_361,11.84937,3.38381,health facility,
ben_5_55,CS Malanhoui,ben_4_360,6.48898,2.66208,health facility,
ben_5_56,CS Islamique,ben_4_414,6.36847129,2.43469686,health facility,
ben_5_57,CS Makrou,ben_4_398,,,health facility,
ben_5_58,CS Lowo,ben_4_179,,,health facility,
ben_5_59,CS Inexistant,ben_4_260,,,health facility,
ben_5_60,CS Inexistant,ben_4_531,,,health facility,
ben_5_61,CS Ina,ben_4_326,9.96094,2.72865833333333,health facility,
ben_5_62,CS Magoumi,ben_4_352,8.00522916,2.20441715,health facility,
ben_5_63,CS Ilèmon,ben_4_339,7.07175,2.75197,health facility,
ben_5_64,CS Madjre,ben_4_351,,,health facility,
ben_5_65,CS Mamoussa,ben_4_189,,,health facility,
ben_5_66,CS Illikimou,ben_4_343,,,health facility,
ben_5_67,CS Illara,ben_4_343,,,health facility,
ben_5_68,CS Illako-Idioro,ben_4_76,,,health facility,
ben_5_69,CS Ikpinle,ben_4_331,6.89868,2.62362,health facility,
ben_5_70,CS Ikpedjile,ben_4_76,6.84084333333333,2.67855,health facility,
ben_5_71,CS Iguillanhoun,ben_4_340,,,health facility,
ben_5_72,CS Igrigou,ben_4_59,11.50935,2.61395,health facility,
ben_5_73,CS Igbomacro,ben_4_267,,,health facility,
ben_5_74,CS Igbo Iroko,ben_4_331,6.84445833333333,2.64454666666667,health facility,
ben_5_75,CS Igbidi,ben_4_22,,,health facility,
ben_5_76,CS Igbere,ben_4_365,,,health facility,
ben_5_77,CS Igba,ben_4_450,6.85943666666667,2.56703166666667,health facility,
ben_5_78,CS Madecali,ben_4_348,11.70624,3.54724,health facility,
ben_5_79,CS Madina,ben_4_427,9.33606,2.62211,health facility,
ben_5_80,CS Lokogba,ben_4_379,6.87003,1.8709,health facility,
ben_5_81,CS Issaba,ben_4_451,,,health facility,
ben_5_82,CS Ita-Soumba,ben_4_340,,,health facility,
ben_5_83,CS Kalale,ben_4_440,,,health facility,
ben_5_84,CS Lokossa,ben_4_382,,,health facility,
ben_5_85,CS Massi,ben_4_535,6.97098814,2.23962969,health facility,
ben_5_86,CS Masse,ben_4_525,,,health facility,
ben_5_87,CS Lon-Agonmey,ben_4_384,,,health facility,
ben_5_88,CS Sakawan-Tedji,ben_4_265,,,health facility,
ben_5_89,CS Kakorokou,ben_4_39,,,health facility,
ben_5_90,CS Maria Gléta,ben_4_192,6.427915,2.30167833333333,health facility,
ben_5_91,CS Lonkly,ben_4_385,7.13786,1.66508,health facility,
ben_5_92,CS Lou,ben_4_440,,,health facility,
ben_5_93,CS Lougba,ben_4_387,8.38066666666667,1.79123,health facility,
ben_5_94,CS Maregourou,ben_4_518,,,health facility,
ben_5_95,CS Lougou (Gog),ben_4_115,,,health facility,
ben_5_96,CS Manta,ben_4_488,10.35259,1.10885,health facility,
ben_5_97,CS Sakete 1,ben_4_198,,,health facility,
ben_5_98,CS Manonkpon,ben_4_446,,,health facility,
ben_5_99,CS Kidaroukperou,ben_4_440,,,health facility,
ben_5_100,CS Manigri Ikanni,ben_4_365,,,health facility,
ben_5_101,CS Manigri,ben_4_365,8.99959,1.67405,health facility,
ben_5_102,CS Lougou,ben_4_389,,,health facility,
ben_5_103,CS Kadjogbé,ben_4_38,,,health facility,
ben_5_104,CS KADEGUE,ben_4_158,,,health facility,
ben_5_105,CS Kaboua,ben_4_443,8.2432654,2.68288577,health facility,
ben_5_106,CS Kabo,ben_4_464,,,health facility,
ben_5_107,CS Itchèdè,ben_4_451,,,health facility,
ben_5_108,CS Itadjebou,ben_4_450,6.825585,2.60736,health facility,
ben_5_109,CS Kaki Koka,ben_4_41,,,health facility,
ben_5_110,CS Kika,ben_4_464,,,health facility,
ben_5_111,CS Odometa,ben_4_108,7.22861,2.64076,health facility,
ben_5_112,CS Kikele,ben_4_267,,,health facility,
ben_5_113,CS Outo,ben_4_6,7.67948376,1.66348742,health facility,
ben_5_114,CS Ouore,ben_4_333,10.91713,1.94556,health facility,
ben_5_115,CS Ounet,ben_4_27,11.23138,2.40597,health facility,
ben_5_116,CS Madengbé,ben_4_350,,,health facility,
ben_5_117,CS Ouassaho,ben_4_12,7.1518453,2.04542368,health facility,
ben_5_118,CS Ouedeme,ben_4_116,8.01610728,2.1728815,health facility,
ben_5_119,CS Pabegou,ben_4_5,9.79315,1.57409,health facility,
ben_5_120,CS Ouedeme-Adja,ben_4_2,6.71332666666667,1.68054,health facility,
ben_5_121,CS Ouedo,ben_4_3,6.45698833333333,2.25666666666667,health facility,
ben_5_122,CS Oumgbega,ben_4_28,7.27279424,2.02055264,health facility,
ben_5_123,CS Lema,ben_4_366,7.8361515,2.2256781,health facility,
ben_5_124,CS Lanta,ben_4_302,,,health facility,
ben_5_125,CS Ouenou (Ndali),ben_4_120,9.78879,2.63532,health facility,
ben_5_126,CS Ouenou (Nikki),ben_4_121,9.91131833333333,3.26615666666667,health facility,
ben_5_127,CS Ouedeme-Peda,ben_4_1,6.48176872,1.94620064,health facility,
ben_5_128,CS Ouere,ben_4_95,,,health facility,
ben_5_129,CS Ouassa-Tobre,ben_4_195,10.19798,2.12978,health facility,
ben_5_130,CS Pahou,ben_4_7,6.38015,2.2088,health facility,
ben_5_131,CS Ouando,ben_4_412,6.51380333333333,2.61017166666667,health facility,
ben_5_132,CS Penelan,ben_4_229,,,health facility,
ben_5_133,CS Pelebina,ben_4_226,9.46964,1.63745,health facility,
ben_5_134,CS Ouanho,ben_4_113,,,health facility,
ben_5_135,CS Kpakou Tankouga,ben_4_510,,,health facility,
ben_5_136,CS Ouara,ben_4_115,10.67991,2.67656,health facility,
ben_5_137,CS Libante,ben_4_370,10.78586,3.58447,health facility,
ben_5_138,CS Pehunco,ben_4_68,10.22884,1.9996,health facility,
ben_5_139,CS Partago,ben_4_10,9.54173,1.90587,health facility,
ben_5_140,CS Partago,ben_4_158,,,health facility,
ben_5_141,CS Ouassa-Maro,ben_4_195,,,health facility,
ben_5_142,CS Parakou,ben_4_430,9.34097,2.62968,health facility,
ben_5_143,CS Paouignan,ben_4_8,,,health facility,
ben_5_144,CS Paneguea,ben_4_476,,,health facility,
ben_5_145,CS Passagon,ben_4_29,7.24926297,2.07283116,health facility,
ben_5_146,CS Ouesse,ben_4_123,8.48875,2.43454,health facility,
ben_5_147,CS Laminou,ben_4_320,8.49446166666667,2.41315833333333,health facility,
ben_5_148,CS Kpakpame,ben_4_473,7.2846491,2.13471634,health facility,
ben_5_149,CS Kpokissa,ben_4_453,7.00416002,2.38774823,health facility,
ben_5_150,CS Kpoba,ben_4_449,6.90226,1.72407,health facility,
ben_5_151,CS Kpinnou,ben_4_447,,,health facility,
ben_5_152,CS Kpingni,ben_4_445,7.76466644,2.18296476,health facility,
ben_5_153,CS Kpetou,ben_4_355,6.42680858,1.91791138,health facility,
ben_5_154,CS Kpedekpo,ben_4_442,7.23516569,2.50505741,health facility,
ben_5_155,CS Kpomasse,ben_4_344,6.444945,2.01091666666667,health facility,
ben_5_156,CS Kpebie (Pèrèrè),ben_4_441,9.70045833333333,3.001065,health facility,
ben_5_157,CS Kpataba,ben_4_439,8.05588,1.9804,health facility,
ben_5_158,CS Kpasse,ben_4_18,6.37336,2.08966,health facility,
ben_5_159,CS Kpassabla,ben_4_315,9.93291,1.61677,health facility,
ben_5_160,CS Oumako,ben_4_25,6.43424031,1.84179758,health facility,
