|---------+-------------+-------------+---------------------------------------------|
| area_id |  dhis2_id   | admin_level |                    name                     |
|---------+-------------+-------------+---------------------------------------------|
|  ben_4_1| BtSE2wNU8VA |   admin_4   |Ouèdèmè                                      |
|  ben_4_2| hjx5FF1BBMG |   admin_4   |Ouèdèmè-Adja                                 |
|  ben_4_3| RnJ9xuLbBUT |   admin_4   |Ouédo                                        |
|  ben_4_4| Mlt4gZZA7Mr |   admin_4   |Birni                                        |
|  ben_4_5| jq9skDornVb |   admin_4   |Pabegou                                      |
|  ben_4_6| p7AFdPrJeDD |   admin_4   |Outo                                         |
|  ben_4_7| PK6RQmmBTeC |   admin_4   |Pahou                                        |
|  ben_4_8| Bas44dx7FpT |   admin_4   |Paouingnan                                   |
|  ben_4_9| ksKEI5EiFj8 |   admin_4   |Djegbe                                       |
| ben_4_10| IIDerOpfVTU |   admin_4   |Partago                                      |
| ben_4_11| ExbRTcZ21aJ |   admin_4   |Gangban                                      |
| ben_4_12| hbRf51OSgje |   admin_4   |Oussaho                                      |
| ben_4_13| rrTlFj0NLvs |   admin_4   |Garou                                        |
| ben_4_14| Si9Aq74znsT |   admin_4   |Ganvie 1                                     |
| ben_4_15| wX2JKqgcKuE |   admin_4   |Dohouime                                     |
| ben_4_16| ycEo4kpgiL3 |   admin_4   |Ouidah I                                     |
| ben_4_17| XIacj3Ch59K |   admin_4   |Ouidah II                                    |
| ben_4_18| i86u2oZdCVy |   admin_4   |Ouidah III                                   |
| ben_4_19| fJosyNdPVTf |   admin_4   |Tapoga                                       |
| ben_4_20| O5iNbkrpT7p |   admin_4   |Ouidah IV                                    |
| ben_4_21| wDvNsgz0Z86 |   admin_4   |Djougou III                                  |
| ben_4_22| sf9kJuHX9WX |   admin_4   |Ahoyeye                                      |
| ben_4_23| eFO9br3ayJv |   admin_4   |Ouinhi (Ar)                                  |
| ben_4_24| KwphQQWNinC |   admin_4   |Gbaffo                                       |
| ben_4_25| LSDj6nDsaAt |   admin_4   |Oumako                                       |
| ben_4_26| RNpMbYjN7Xt |   admin_4   |Vakon                                        |
| ben_4_27| z9HerSKhZPv |   admin_4   |Ounet                                        |
| ben_4_28| AjZlKkKzC2Z |   admin_4   |Oungbegame                                   |
| ben_4_29| DoNEzIIwmNx |   admin_4   |Passagon                                     |
| ben_4_30| pY6Jzfe32qa |   admin_4   |Ganvie 2                                     |
| ben_4_31| yAUY7G8JmnX |   admin_4   |Tatonnoukon                                  |
| ben_4_32| bEPW2hegCJB |   admin_4   |Gamia                                        |
| ben_4_33| hvONWNWODcS |   admin_4   |Gakpe                                        |
| ben_4_34| MD1BLwF2BJJ |   admin_4   |Tanwé-Hessou                                 |
| ben_4_35| TPSX5hmT1Ca |   admin_4   |Sinwe-Kpota                                  |
| ben_4_36| M4CA6oJiXDr |   admin_4   |Sinwe-Lego                                   |
| ben_4_37| rKP0ZFXwCgX |   admin_4   |Sirarou                                      |
| ben_4_38| lhw9fnU2ctq |   admin_4   |Besse                                        |
| ben_4_39| nyamjyxX85j |   admin_4   |Toura                                        |
| ben_4_40| V8MYkI7jMSE |   admin_4   |Akpadanou                                    |
| ben_4_41| CFVQ0FCdHRj |   admin_4   |Beterou                                      |
| ben_4_42| qH85U3wcdpf |   admin_4   |Fo-Tance                                     |
| ben_4_43| VkaXtAdn9Ns |   admin_4   |Daagbe                                       |
| ben_4_44| PMNFG856S5N |   admin_4   |Setto                                        |
| ben_4_45| RLbunxEYF0o |   admin_4   |Athiémé (Ar)                                 |
| ben_4_46| UmcvDiGQ9QW |   admin_4   |Bensekou                                     |
| ben_4_47| bg6C2WcpZbB |   admin_4   |Djegbadji                                    |
| ben_4_48| DQPqrZ8BGMY |   admin_4   |Serekali                                     |
| ben_4_49| lD01QR50LID |   admin_4   |Beroubouay                                   |
| ben_4_50| DvZXQry0Gng |   admin_4   |Akofodjoulé                                  |
| ben_4_51| Qfu1SqiCuwX |   admin_4   |Akodéha                                      |
| ben_4_52| BfzZmzqDOvN |   admin_4   |Toviklin (Ar)                                |
| ben_4_53| JkYug3bC7nr |   admin_4   |Tré                                          |
| ben_4_54| v11ecyd8nqu |   admin_4   |Peonga                                       |
| ben_4_55| q9fweRVkvnB |   admin_4   |Perma                                        |
| ben_4_56| tUu2WiJ6fzj |   admin_4   |Fô-Boure                                     |
| ben_4_57| NgGtM2tfaCt |   admin_4   |Sinende (Ar)                                 |
