"area_id","map_level","map_name","map_id","map_source"
"KEN",0,"Kenya","HfVjCurKxh2","DHIS2"
"KEN_2_30",1,"Baringo County","vvOK1BxTbet","DHIS2"
"KEN_2_36",1,"Bomet County","HMNARUV2CW4","DHIS2"
"KEN_2_39",1,"Bungoma County","KGHhQ5GLd4k","DHIS2"
"KEN_2_40",1,"Busia County","Tvf1zgVZ0K4","DHIS2"
"KEN_2_28",1,"Elgeyo Marakwet County","MqnLxQBigG0","DHIS2"
"KEN_2_14",1,"Embu County","PFu8alU2KWG","DHIS2"
"KEN_2_07",1,"Garissa County","uyOrcHZBpW0","DHIS2"
"KEN_2_43",1,"Homa Bay County","nK0A12Q7MvS","DHIS2"
"KEN_2_11",1,"Isiolo County","bzOfj0iwfDH","DHIS2"
"KEN_2_34",1,"Kajiado County","Hsk1YV8kHkT","DHIS2"
"KEN_2_37",1,"Kakamega County","BjC1xL40gHo","DHIS2"
"KEN_2_35",1,"Kericho County","ihZsJ8alvtb","DHIS2"
"KEN_2_22",1,"Kiambu County","qKzosKQPl6G","DHIS2"
"KEN_2_03",1,"Kilifi County","nrI2khZx3d0","DHIS2"
"KEN_2_20",1,"Kirinyaga County","Ulj33KBau7V","DHIS2"
"KEN_2_45",1,"Kisii County","sPkRcDvhGWA","DHIS2"
"KEN_2_42",1,"Kisumu County","tAbBVBbueqD","DHIS2"
"KEN_2_15",1,"Kitui County","j8o6iO4Njsi","DHIS2"
"KEN_2_02",1,"Kwale County","N7YETT3A9r1","DHIS2"
"KEN_2_31",1,"Laikipia County","xuFdFy6t9AH","DHIS2"
"KEN_2_05",1,"Lamu County","NjWSbQTwys4","DHIS2"
"KEN_2_16",1,"Machakos County","yhCUgGcCcOo","DHIS2"
"KEN_2_17",1,"Makueni County","BoDytkJQ4Qi","DHIS2"
"KEN_2_09",1,"Mandera County","R6f9znhg37c","DHIS2"
"KEN_2_10",1,"Marsabit County","Eey8fT4Im3y","DHIS2"
"KEN_2_12",1,"Meru County","Y52XNJ50hYb","DHIS2"
"KEN_2_44",1,"Migori County","fVra3Pwta0Q","DHIS2"
"KEN_2_01",1,"Mombasa County","wsBsC6gjHvn","DHIS2"
"KEN_2_21",1,"Muranga County","ahwTMNAJvrL","DHIS2"
"KEN_2_47",1,"Nairobi County","jkG3zaihdSs","DHIS2"
"KEN_2_32",1,"Nakuru County","ob6SxuRcqU4","DHIS2"
"KEN_2_29",1,"Nandi County","t0J75eHKxz5","DHIS2"
"KEN_2_33",1,"Narok County","kqJ83J2D72s","DHIS2"
"KEN_2_46",1,"Nyamira County","uepLTG8wGWJ","DHIS2"
"KEN_2_18",1,"Nyandarua County","mYZacFNIB3h","DHIS2"
"KEN_2_19",1,"Nyeri County","ptWVfaCIdVx","DHIS2"
"KEN_2_25",1,"Samburu County","o36zCRjSd4G","DHIS2"
"KEN_2_41",1,"Siaya County","u4t9H8XyU9P","DHIS2"
"KEN_2_06",1,"Taita Taveta County","QyGNX2DpR4h","DHIS2"
"KEN_2_04",1,"Tana River County","JsH2bnvNt2d","DHIS2"
"KEN_2_13",1,"Tharaka Nithi County","T4urHM47nlm","DHIS2"
"KEN_2_26",1,"Trans Nzoia County","mThvosEflAU","DHIS2"
"KEN_2_23",1,"Turkana County","kphDeKClFch","DHIS2"
"KEN_2_27",1,"Uasin Gishu County","pZqQRRW7PHP","DHIS2"
"KEN_2_38",1,"Vihiga County","sANMZ3lpqGs","DHIS2"
"KEN_2_08",1,"Wajir County","CeLsrJOH0g9","DHIS2"
"KEN_2_24",1,"West Pokot County","XWALbfAPa6n","DHIS2"
