area_id,map_level,map_name,map_id,map_source
ken_0_1,0,,HfVjCurKxh2,DHIS2
ken_1_1,1,,wsBsC6gjHvn,DHIS2
ken_1_2,1,,T4urHM47nlm,DHIS2
ken_1_3,1,,kqJ83J2D72s,DHIS2
ken_1_4,1,,sPkRcDvhGWA,DHIS2
ken_1_5,1,,CeLsrJOH0g9,DHIS2
ken_1_6,1,,jkG3zaihdSs,DHIS2
ken_1_7,1,,mYZacFNIB3h,DHIS2
ken_1_8,1,,tAbBVBbueqD,DHIS2
ken_1_9,1,,ihZsJ8alvtb,DHIS2
ken_1_10,1,,PFu8alU2KWG,DHIS2
ken_1_11,1,,sANMZ3lpqGs,DHIS2
ken_1_12,1,,ptWVfaCIdVx,DHIS2
ken_1_13,1,,j8o6iO4Njsi,DHIS2
ken_1_14,1,,vvOK1BxTbet,DHIS2
ken_1_15,1,,xuFdFy6t9AH,DHIS2
ken_1_16,1,,KGHhQ5GLd4k,DHIS2
ken_1_17,1,,R6f9znhg37c,DHIS2
ken_1_18,1,,Tvf1zgVZ0K4,DHIS2
ken_1_19,1,,bzOfj0iwfDH,DHIS2
ken_1_20,1,,MqnLxQBigG0,DHIS2
ken_1_21,1,,ob6SxuRcqU4,DHIS2
ken_1_22,1,,Y52XNJ50hYb,DHIS2
ken_1_23,1,,XWALbfAPa6n,DHIS2
ken_1_24,1,,uyOrcHZBpW0,DHIS2
ken_1_25,1,,mThvosEflAU,DHIS2
ken_1_26,1,,BoDytkJQ4Qi,DHIS2
ken_1_27,1,,qKzosKQPl6G,DHIS2
ken_1_28,1,,yhCUgGcCcOo,DHIS2
ken_1_29,1,,nK0A12Q7MvS,DHIS2
ken_1_30,1,,pZqQRRW7PHP,DHIS2
ken_1_31,1,,N7YETT3A9r1,DHIS2
ken_1_32,1,,uepLTG8wGWJ,DHIS2
ken_1_33,1,,u4t9H8XyU9P,DHIS2
ken_1_34,1,,kphDeKClFch,DHIS2
ken_1_35,1,,nrI2khZx3d0,DHIS2
ken_1_36,1,,o36zCRjSd4G,DHIS2
ken_1_37,1,,ahwTMNAJvrL,DHIS2
ken_1_38,1,,HMNARUV2CW4,DHIS2
ken_1_39,1,,JsH2bnvNt2d,DHIS2
ken_1_40,1,,QyGNX2DpR4h,DHIS2
ken_1_41,1,,Ulj33KBau7V,DHIS2
ken_1_42,1,,NjWSbQTwys4,DHIS2
ken_1_43,1,,fVra3Pwta0Q,DHIS2
