"area_id","map_name","map_id"
"LSO_2_1","Qiloane","XpSYzvuY3Vw"
"LSO_2_10","Makhoalipana","hq0O1bY8xem"
"LSO_2_11","Semonkong","k8OCLtIDWSO"
"LSO_2_11","Semonkong","aw3KW0vjOzZ"
"LSO_2_12","Maseru (Maseru District)","XMeHPQmQQfj"
"LSO_2_12","Maseru (Maseru District)","xrRJDcNFiNf"
"LSO_2_12","Maseru (Maseru District)","xBYX4nZudVa"
"LSO_2_12","Maseru (Maseru District)","sRNv544u4Kj"
"LSO_2_12","Maseru (Maseru District)","GSULt43npVq"
"LSO_2_12","Maseru (Maseru District)","pRYCcGMztpE"
"LSO_2_12","Maseru (Maseru District)","CHkFIybZoZz"
"LSO_2_12","Maseru (Maseru District)","oBPpx2f4BcZ"
"LSO_2_12","Maseru (Maseru District)","qIvgZa9XF0F"
"LSO_2_12","Maseru (Maseru District)","Y0k1j4epYcj"
"LSO_2_12","Maseru (Maseru District)","lZQZ9AB6rji"
"LSO_2_12","Maseru (Maseru District)","nTzPazt8WkQ"
"LSO_2_12","Maseru (Maseru District)","IHUQZR8x1bN"
"LSO_2_12","Maseru (Maseru District)","wuc6FWqNNAI"
"LSO_2_12","Maseru (Maseru District)","c316gWMgl8s"
"LSO_2_12","Maseru (Maseru District)","tlR06WKFmLq"
"LSO_2_12","Maseru (Maseru District)","I15mYpPEhoD"
"LSO_2_12","Maseru (Maseru District)","YEqpynbPmbi"
"LSO_2_12","Maseru (Maseru District)","ImTNJK7xmb2"
"LSO_2_12","Maseru (Maseru District)","ebjiBREB46C"
"LSO_2_12","Maseru (Maseru District)","KJ6woAlhwwv"
"LSO_2_12","Maseru (Maseru District)","XE1ZpJfYfNj"
"LSO_2_12","Maseru (Maseru District)","klqr66p92EF"
"LSO_2_12","Maseru (Maseru District)","PifTOKrNsLP"
"LSO_2_12","Maseru (Maseru District)","MB5cxkvi6cS"
"LSO_2_12","Maseru (Maseru District)","iaVR6EmYgF3"
"LSO_2_12","Maseru (Maseru District)","mGZ5cjBZ5aP"
"LSO_2_12","Maseru (Maseru District)","ATaj0GHSKcu"
"LSO_2_12","Maseru (Maseru District)","bBOyj8MGPVD"
"LSO_2_12","Maseru (Maseru District)","RX5ORe4qDSt"
"LSO_2_12","Maseru (Maseru District)","EkzR8PlnJcc"
"LSO_2_12","Maseru (Maseru District)","gaN84ZsMN3Q"
"LSO_2_12","Maseru (Maseru District)","Fd8GIZHBuva"
"LSO_2_12","Maseru (Maseru District)","Tyj1r0t14Ru"
"LSO_2_12","Maseru (Maseru District)","TswXF8KcqQs"
"LSO_2_12","Maseru (Maseru District)","kq9IkQmnv23"
"LSO_2_12","Maseru (Maseru District)","OB5Yufm9JeW"
"LSO_2_12","Maseru (Maseru District)","udc28CHRi39"
"LSO_2_12","Maseru (Maseru District)","RyH9NkIm7W1"
"LSO_2_12","Maseru (Maseru District)","DRBVdFkpc4q"
"LSO_2_12","Maseru (Maseru District)","VuVF0o4bzX1"
"LSO_2_12","Maseru (Maseru District)","ipXZDKPO11m"
"LSO_2_12","Maseru (Maseru District)","WbEwbZYdsRy"
"LSO_2_12","Maseru (Maseru District)","TvNvfDW9qXV"
"LSO_2_12","Maseru (Maseru District)","UmTD2jHCcgr"
"LSO_2_12","Maseru (Maseru District)","BPHXfwQ3EoG"
"LSO_2_12","Maseru (Maseru District)","TOeoYfVstXD"
"LSO_2_12","Maseru (Maseru District)","NhnLuaEWuTj"
"LSO_2_12","Maseru (Maseru District)","UbAERlrKoXA"
"LSO_2_12","Maseru (Maseru District)","JmjnySIX8jY"
"LSO_2_12","Maseru (Maseru District)","Y7gmm5bMZ1x"
"LSO_2_12","Maseru (Maseru District)","fe42BfDQHzQ"
"LSO_2_12","Maseru (Maseru District)","PKo22wI3eZu"
"LSO_2_12","Maseru (Maseru District)","Vy6qPSranFS"
"LSO_2_12","Maseru (Maseru District)","BtI5pajHYXS"
"LSO_2_12","Maseru (Maseru District)","GRZpnYMf9a6"
"LSO_2_12","Maseru (Maseru District)","ta2d3rK31vS"
"LSO_2_12","Maseru (Maseru District)","cWBF2PStzPv"
"LSO_2_12","Maseru (Maseru District)","sxbO4TD18dr"
"LSO_2_12","Maseru (Maseru District)","HYvN9QXgOQD"
"LSO_2_12","Maseru (Maseru District)","DD2AsmBpftF"
"LSO_2_12","Maseru (Maseru District)","KlOiSXS4P4I"
"LSO_2_13","Ngoajane","vVW5OONMCEb"
"LSO_2_13","Ngoajane","p3f3hnJh8mU"
"LSO_2_13","Ngoajane","D8cFeFpwx55"
