"area_id","dhis2_id","pepfar_id","map_level","map_name"
"NGA",,"PqlFzhuPcF1",0,"Nigeria"
"NGA_2_AB",,"PSyoMabuxF4",1,"Abia"
"NGA_2_AN",,"LXdsxJVo6Gk",1,"Anambra"
"NGA_2_EB",,"GBuVMaobpww",1,"Ebonyi"
"NGA_2_EN",,"yNTAsxa4JYC",1,"Enugu"
"NGA_2_IM",,"xod2zGl32QR",1,"Imo"
"NGA_2_AD",,"erpCFZj6yFu",1,"Adamawa"
"NGA_2_BA",,"Mt26U3BtZWW",1,"Bauchi"
"NGA_2_BR",,"sXsTHBsj0rh",1,"Borno"
"NGA_2_GO",,"XzSGf4ZxlR6",1,"Gombe"
"NGA_2_TA",,"chS82SaWUb0",1,"Taraba"
"NGA_2_YO",,"j5uy1Add8lx",1,"Yobe"
"NGA_2_AK",,"pRNjUammgeK",1,"Akwa Ibom"
"NGA_2_BY",,"R4vqlQuPEP3",1,"Bayelsa"
"NGA_2_CR",,"pq7kECDgKc7",1,"Cross River"
"NGA_2_DE",,"i5hb4KFA5MW",1,"Delta"
"NGA_2_ED",,"gsAcqPGkabf",1,"Edo"
"NGA_2_RI",,"SSqrxMy7RHB",1,"Rivers"
"NGA_2_BE",,"vSN6HHeBPqw",1,"Benue"
"NGA_2_FC",,"rwV3sqg9IyH",1,"FCT"
"NGA_2_KO",,"G22rHB3F3Ew",1,"Kogi"
"NGA_2_KW",,"DB9jvKNvPXU",1,"Kwara"
"NGA_2_NA",,"ek80rI6DFKt",1,"Nasarawa"
"NGA_2_NI",,"mWutl8clHfY",1,"Niger"
"NGA_2_PL",,"GAfGnvcVZ6k",1,"Plateau"
"NGA_2_EK",,"W1EHlIiNm7L",1,"Ekiti"
"NGA_2_LA",,"X1YSuZzQAP8",1,"Lagos"
"NGA_2_OG",,"JPR7FWvI4Jq",1,"Ogun"
"NGA_2_Ondo",,"H7zZFfHCS3p",1,"Ondo"
"NGA_2_OS",,"eGalRf62pxe",1,"Osun"
"NGA_2_OY",,"MLdHgMQUM3y",1,"Oyo"
"NGA_2_JI",,"F8ealt899Lx",1,"Jigawa"
"NGA_2_KD",,"ERH1gaeZSqG",1,"Kaduna"
"NGA_2_KN",,"J1P31dMvu7x",1,"Kano"
"NGA_2_KT",,"EuopELCVYdk",1,"Katsina"
"NGA_2_KB",,"LaLcSZWEEMv",1,"Kebbi"
"NGA_2_SO",,"abbiqwv4nNw",1,"Sokoto"
"NGA_2_ZA",,"WXvWYq7i2Az",1,"Zamfara"
"NGA_3_001",,"BY7bSKwPjPJ",2,"ab Aba North"
"NGA_3_002",,"sneW3AzybWl",2,"ab Aba South"
"NGA_3_003",,"utjfWYGFWf9",2,"ab Arochukwu"
"NGA_3_004",,"hxL0g5v8Utk",2,"ab Bende"
"NGA_3_005",,"B313k9dIuCR",2,"ab Ikwuano"
"NGA_3_006",,"GCY4ic15Vx9",2,"ab Isiala-Ngwa North"
"NGA_3_007",,"SQAfXNZsq0o",2,"ab Isiala-Ngwa South"
"NGA_3_008",,"UcRhSWkBEBj",2,"ab Isuikwuato"
"NGA_3_009",,"xQ0mrXizc76",2,"ab Obingwa"
"NGA_3_010",,"pZTnyzppDlO",2,"ab Ohafia"
"NGA_3_011",,"L1aZjDe1sH1",2,"ab Osisioma Ngwa"
"NGA_3_012",,"WRdsg318pjK",2,"ab Ugwunagbo"
"NGA_3_013",,"rUPLBHykOK5",2,"ab Ukwa East"
"NGA_3_014",,"JReXS37mwcG",2,"ab Ukwa West"
"NGA_3_015",,"hJwaMaptWAC",2,"ab Umu Nneochi"
"NGA_3_016",,"Saab1FHVbPD",2,"ab Umuahia North"
"NGA_3_017",,"sjaIPoRZPBo",2,"ab Umuahia South"
"NGA_3_018",,"DFMlCbHb8A8",2,"an Aguata"
"NGA_3_019",,"WympM6A8Dyz",2,"an Anambra East"
"NGA_3_020",,"ia5DjoyiJml",2,"an Anambra West"
"NGA_3_021",,"sgqANA29vHG",2,"an Anaocha"
"NGA_3_022",,"Z69WtGQ0Urd",2,"an Awka North"
"NGA_3_023",,"JyswUUSs0Ga",2,"an Awka South"
"NGA_3_024",,"cAtDMHGqXDY",2,"an Ayamelum"
"NGA_3_025",,"LnzMu6ek3Y9",2,"an Dunukofia"
"NGA_3_026",,"UjwHpQb8RFM",2,"an Ekwusigo"
"NGA_3_027",,"EXvdc4ppwoz",2,"an Idemili North"
"NGA_3_028",,"GzWt3GqoM7i",2,"an Idemili South"
"NGA_3_029",,"kKXpnEpWHau",2,"an Ihiala"
"NGA_3_030",,"jjP9tmzofKz",2,"an Njikoka"
"NGA_3_031",,"zfiun4GPDku",2,"an Nnewi North"
"NGA_3_032",,"NF6SfRY1kto",2,"an Nnewi South"
"NGA_3_033",,"ECHIr3eP4t4",2,"an Ogbaru"
"NGA_3_034",,"DR7pw2aSUwX",2,"an Onitsha North"
"NGA_3_035",,"JyWT5Q3Xqkf",2,"an Onitsha South"
"NGA_3_036",,"R1QrxLfGQAu",2,"an Orumba North"
"NGA_3_037",,"HJYYvGcFd4u",2,"an Orumba South"
"NGA_3_038",,"DPtWPT96gZF",2,"an Oyi"
"NGA_3_039",,"EzsXkY9WARj",2,"eb Abakaliki"
"NGA_3_040",,"KN2TmcAVqzi",2,"eb Afikpo North"
"NGA_3_041",,"ZrkJxE1QhrW",2,"eb Afikpo South"
"NGA_3_042",,"J4yYjIqL7mG",2,"eb Ebonyi"
"NGA_3_043",,"tIuMJ7BIDWY",2,"eb Ezza North"
"NGA_3_044",,"UHy5pRsQvje",2,"eb Ezza South"
"NGA_3_045",,"MTm3lyt1uyA",2,"eb Ikwo"
"NGA_3_046",,"vPNckbEJmgJ",2,"eb Ishielu"
"NGA_3_047",,"k8q2pBQgUN8",2,"eb Ivo"
"NGA_3_048",,"I0BlgP4H1OY",2,"eb Izzi"
"NGA_3_049",,"DUdIkrprTo5",2,"eb Ohaozara"
"NGA_3_050",,"IgQnoCiFkNF",2,"eb Ohaukwu"
"NGA_3_051",,"LVqMvb9kkzH",2,"eb Onicha"
"NGA_3_052",,"hu1xt1ogF4p",2,"en Aninri"
"NGA_3_053",,"j44sQg7jgxN",2,"en Awgu"
"NGA_3_054",,"HlABmTwBpu6",2,"en Enugu East"
"NGA_3_055",,"pLAiWmFjn0V",2,"en Enugu North"
"NGA_3_056",,"HhCbsjlKoWA",2,"en Enugu South"
"NGA_3_057",,"H3vPz5cLc8w",2,"en Ezeagu"
"NGA_3_058",,"XSjMKY9mf7k",2,"en Igbo Etiti"
"NGA_3_059",,"ai7N2iAo0JE",2,"en Igbo Eze North"
"NGA_3_060",,"WSdmE5ogw0T",2,"en Igbo Eze South"
"NGA_3_061",,"WihGaIxuEIs",2,"en Isiuzo"
"NGA_3_062",,"fEruEcd3780",2,"en Nkanu East"
"NGA_3_063",,"PWOBEq85BOf",2,"en Nkanu West"
"NGA_3_064",,"ITdnyCiBvz7",2,"en Nsukka"
"NGA_3_065",,"xu2XtcwkKms",2,"en Oji River"
"NGA_3_066",,"Jw8aS21k2oW",2,"en Udenu"
"NGA_3_067",,"OY7K8rR5ukn",2,"en Udi"
"NGA_3_068",,"os29wbUTQz7",2,"en Uzo Uwani"
"NGA_3_069",,"QT7WqfzOT7X",2,"im Aboh Mbaise"
"NGA_3_070",,"EyHfmrBzsuk",2,"im Ahiazu Mbaise"
"NGA_3_071",,"Ymb6umwsISK",2,"im Ehime Mbano"
