area_id,map_id,pepfar_id
TZA,m0frOspS7JY,mdXu6iCbn2G
TZA_2_01,Cpd5l15XxwA,bmRqeKE3Srw
TZA_2_02,YtVMnut7Foe,SUd0Latzp0z
TZA_2_03,lnOyHhoLzre,r1X2R3xCahF
TZA_2_04,vU0Qt1A5IDz,Y1o37mwZv9D
TZA_2_05,Sj50oz9EHvD,wXiGo7bLJfZ
TZA_2_06,yyW17iCz9As,i9EWbwJTLpl
TZA_2_07,acZHYslyJLt,rFkiQ8zxMya
TZA_2_08,VMgrQWSVIYn,kLhRnbNgmQo
TZA_2_09,bN5q5k5DgLA,Goel5yB7uSx
TZA_2_10,ZYYX8Q9SGoV,T2bw9bxntl8
TZA_2_11,sWOWPBvwNY2,umVF3kzCQOj
TZA_2_12,A3b5mw8DJYC,gscKZEtokgV
TZA_2_13,LGTVRhKSn1V,gqw9hkhwrIe
TZA_2_14,kZ6RlMnt2bp,sDCgdgl39zn
TZA_2_15,vAtZ8a924Lx,S0aB3rpTY1t
TZA_2_16,RD96nI1JXVV,cnqQSriMwp8
TZA_2_17,EO3Ps3ny0Nr,mpJGV1W05dg
TZA_2_18,Crkg9BoUo5w,v49jxVQO1c2
TZA_2_19,hAFRrgDK0fy,Bb8nvv4bXgX
TZA_2_20,vYT08q7Wo33,agaHu16ZNX0
TZA_2_21,qg5ySBw9X5l,JVO85UvyzFx
TZA_2_22,qarQhOt2OEh,c5WrtS2Uejj
TZA_2_23,DWSo42hunXH,QSPGnwVWfKl
TZA_2_24,IgTAEKMqKRe,fEexAr9qoty
TZA_2_25,MAL4cfZoFhJ,owcgF3FNBz9
TZA_2_26,Rg0jCRi9297,ZDKmiYKQpq7
TZA_2_51,NA,z18WXalvHis
TZA_2_52,NA,AQseEBNFuq7
TZA_2_53,NA,UjIWyffxj8z
TZA_2_54,NA,WPIvRWeSgQI
TZA_2_55,NA,WCjxS2szrtn
TZA_3_1,Ak1TMj0oYc7,dgdbOACMjkJ
TZA_3_2,yiR1QdOwPqP,YLCO37nNRDr
TZA_3_3,Fez1Dp8bXSk,y9AY8FOTj8O
TZA_3_4,OzGGHqXQn5p,shxU5hXKkXr
TZA_3_5,yTTjcYh4xqa,KkMgLgvtuAa
TZA_3_6,tn4J9iYIv7I,fW5P8qfi5ke
TZA_3_7,DTc1rxSmlde,yz3UtyuzHdF
TZA_3_8,P5H056daq2I,A3x7TQqItNX
TZA_3_9,lgZ6HfZaj3f,kUikmXEZjNy
TZA_3_10,zHa2ohFrpPM,QL3f2eyizTy
TZA_3_11,QKEr8DFutO8,yrL0bXyNGUC
TZA_3_12,aQEZnk4RzKv,trEZDtd0yG0
TZA_3_13,uafqZbOYpVL,IvFsAvEMGoN
TZA_3_14,D21VsjNL2LB,GWyu5TpbqZR
TZA_3_15,PHWaJvzTmL8,j2oJq5cmseg
TZA_3_16,MiLb81EwC7j,bVxRDDk5dhV
TZA_3_17,VMTJLxcFH9o,AilOhUXA8aG
TZA_3_18,Y8sOGpb4AFE,CbnpwmuwDpe
TZA_3_19,OHu1VHzyA0x,feWqlZZmIFa
TZA_3_20,Hob4dzCAW2W,aJBepvgxJL8
TZA_3_21,WCTbfnMiNF3,PwxC93HtuSb
