area_id,map_level,map_name,map_id,map_source
TZA,0,MOH - Tanzania,m0frOspS7JY,DHIS2
TZA_2_01,1,Dodoma Region,Cpd5l15XxwA,DHIS2
TZA_2_02,1,Arusha Region,YtVMnut7Foe,DHIS2
TZA_2_03,1,Kilimanjaro Region,lnOyHhoLzre,DHIS2
TZA_2_04,1,Tanga Region,vU0Qt1A5IDz,DHIS2
TZA_2_05,1,Morogoro Region,Sj50oz9EHvD,DHIS2
TZA_2_06,1,Pwani Region,yyW17iCz9As,DHIS2
TZA_2_07,1,Dar Es Salaam Region,acZHYslyJLt,DHIS2
TZA_2_08,1,Lindi Region,VMgrQWSVIYn,DHIS2
TZA_2_09,1,Mtwara Region,bN5q5k5DgLA,DHIS2
TZA_2_10,1,Ruvuma Region,ZYYX8Q9SGoV,DHIS2
TZA_2_11,1,Iringa Region,sWOWPBvwNY2,DHIS2
TZA_2_12,1,Mbeya Region,A3b5mw8DJYC,DHIS2
TZA_2_13,1,Singida Region,LGTVRhKSn1V,DHIS2
TZA_2_14,1,Tabora Region,kZ6RlMnt2bp,DHIS2
TZA_2_15,1,Rukwa Region,vAtZ8a924Lx,DHIS2
TZA_2_16,1,Kigoma Region,RD96nI1JXVV,DHIS2
TZA_2_17,1,Shinyanga Region,EO3Ps3ny0Nr,DHIS2
TZA_2_18,1,Kagera Region,Crkg9BoUo5w,DHIS2
TZA_2_19,1,Mwanza Region,hAFRrgDK0fy,DHIS2
TZA_2_20,1,Mara Region,vYT08q7Wo33,DHIS2
TZA_2_21,1,Manyara Region,qg5ySBw9X5l,DHIS2
TZA_2_22,1,Njombe Region,qarQhOt2OEh,DHIS2
TZA_2_23,1,Katavi Region,DWSo42hunXH,DHIS2
TZA_2_24,1,Simiyu Region,IgTAEKMqKRe,DHIS2
TZA_2_25,1,Geita Region,MAL4cfZoFhJ,DHIS2
TZA_2_26,1,Songwe Region,Rg0jCRi9297,DHIS2
TZA_2_51,NA,NA,NA,NA
TZA_2_52,NA,NA,NA,NA
TZA_2_53,NA,NA,NA,NA
TZA_2_54,NA,NA,NA,NA
TZA_2_55,NA,NA,NA,NA
TZA_3_1,2,Bahi District Council,Ak1TMj0oYc7,DHIS2
TZA_3_2,2,Chamwino District Council,yiR1QdOwPqP,DHIS2
TZA_3_3,2,Chemba District Council,Fez1Dp8bXSk,DHIS2
TZA_3_4,2,Dodoma Municipal Council,OzGGHqXQn5p,DHIS2
TZA_3_5,2,Kondoa District Council,yTTjcYh4xqa,DHIS2
TZA_3_6,2,Kondoa Town Council,tn4J9iYIv7I,DHIS2
TZA_3_7,2,Kongwa District Council,DTc1rxSmlde,DHIS2
TZA_3_8,2,Mpwapwa District Council,P5H056daq2I,DHIS2
TZA_3_9,2,Arusha City Council,lgZ6HfZaj3f,DHIS2
TZA_3_10,2,Arusha District Council,zHa2ohFrpPM,DHIS2
TZA_3_11,2,Karatu District Council,QKEr8DFutO8,DHIS2
TZA_3_12,2,Longido District Council,aQEZnk4RzKv,DHIS2
TZA_3_13,2,Meru District Council,uafqZbOYpVL,DHIS2
TZA_3_14,2,Monduli District Council,D21VsjNL2LB,DHIS2
TZA_3_15,2,Ngorongoro District Council,PHWaJvzTmL8,DHIS2
TZA_3_16,2,Hai District Council,MiLb81EwC7j,DHIS2
TZA_3_17,2,Moshi District Council,VMTJLxcFH9o,DHIS2
TZA_3_18,2,Moshi Municipal Council,Y8sOGpb4AFE,DHIS2
TZA_3_19,2,Mwanga District Council,OHu1VHzyA0x,DHIS2
TZA_3_20,2,Rombo District Council,Hob4dzCAW2W,DHIS2
