name,id,shortName,path,displayName,featureType,coordinates
" Ihanga Dispensary",TnZ9IhNNRmZ," Ihanga Dispensary","/m0frOspS7JY/qarQhOt2OEh/NzvekEmEzUG/TnZ9IhNNRmZ"," Ihanga Dispensary",NONE,
" Kasiga Dispensary",xoBePPloRJu," Kasiga Dispensary","/m0frOspS7JY/Sj50oz9EHvD/GFMMtqCiaUG/xoBePPloRJu"," Kasiga Dispensary",POINT,"[36.6841,-8.148]"
" Magamba Oakland Dispensary",Dr80ve0pgWe," Magamba Oakland Dispensary","/m0frOspS7JY/vU0Qt1A5IDz/ilY7TEjviqa/Dr80ve0pgWe"," Magamba Oakland Dispensary",POINT,"[38.29006,-4.74767]"
"07/691KJ Dispensary",CujHs4d8Rt9,"07/691KJ Dispensary","/m0frOspS7JY/bN5q5k5DgLA/tLzrq5IZ23W/CujHs4d8Rt9","07/691KJ Dispensary",NONE,
"2 Crown Dental Clinic",FzkQvKBGYFm,"2 Crown Dental Clinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/FzkQvKBGYFm","2 Crown Dental Clinic",NONE,
"202 KJ Dispensary",I39jtR6BDis,"202 KJ Dispensary","/m0frOspS7JY/kZ6RlMnt2bp/Nc1C12TG69d/I39jtR6BDis","202 KJ Dispensary",POINT,"[32.82869,-5.05716]"
"23kj Dispensary",WmAcPi4022z,"23kj Dispensary","/m0frOspS7JY/Crkg9BoUo5w/yz7jPBCDXlX/WmAcPi4022z","23kj Dispensary",POINT,"[31.33744,-2.63157]"
"24kj Dispensary",tSNVYnIPSed,"24kj Dispensary","/m0frOspS7JY/RD96nI1JXVV/dIiTyLaZAEb/tSNVYnIPSed","24kj Dispensary",POINT,"[29.63601,-4.89334]"
"361 KJ Dispensary",UT98QIGXHSf,"361 KJ Dispensary","/m0frOspS7JY/acZHYslyJLt/ts6eEeUjcfO/UT98QIGXHSf","361 KJ Dispensary",NONE,
"361 KJ Lugalo Dispensary",jk47Sq81pi7,"361 KJ Lugalo Dispensary","/m0frOspS7JY/acZHYslyJLt/ts6eEeUjcfO/jk47Sq81pi7","361 KJ Lugalo Dispensary",NONE,
"511KJ Gongo la Mboto Dispensary",v0LzCIA8q3C,"511KJ Gongo la Mboto Dispensary","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/v0LzCIA8q3C","511KJ Gongo la Mboto Dispensary",POINT,"[39.15133,-6.88878]"
"512KJ Dispensary",RmWvub1L94o,"512KJ Dispensary","/m0frOspS7JY/hAFRrgDK0fy/f7UPzYMgzVH/RmWvub1L94o","512KJ Dispensary",POINT,"[32.91911,-2.58227]"
"514KJ JWTZ Dispensary",NIpR8gZ3KDN,"514KJ JWTZ Dispensary","/m0frOspS7JY/qarQhOt2OEh/cirtJ7KuNU0/NIpR8gZ3KDN","514KJ JWTZ Dispensary",POINT,"[34.839154,-8.83274]"
"663 KJ Dispensary",qPmwpHagwrN,"663 KJ Dispensary","/m0frOspS7JY/hAFRrgDK0fy/et6lWc8GDHy/qPmwpHagwrN","663 KJ Dispensary",NONE,
"909 Dental Centre Clinic - Dental Clinic",veBUn4R1tx8,"909 Dental Centre Clinic - Dental Clinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/veBUn4R1tx8","909 Dental Centre Clinic - Dental Clinic",POINT,"[39.27917,-6.809073]"
"A and A Dispensary",Y8MNPmF3Aye,"A and A Dispensary","/m0frOspS7JY/A3b5mw8DJYC/AvfNRAIsvhg/Y8MNPmF3Aye","A and A Dispensary",POINT,"[34.304,-8.67632]"
"A.I.C.T Makongoro Health Center",zRVBC54303O,"A.I.C.T Makongoro Health Center","/m0frOspS7JY/hAFRrgDK0fy/f7UPzYMgzVH/zRVBC54303O","A.I.C.T Makongoro Health Center",POINT,"[32.90121,-2.50528]"
"A.J. Njia Health Center",JI9xEmWXuF6,"A.J. Njia Health Center","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/JI9xEmWXuF6","A.J. Njia Health Center",POINT,"[39.190583,-6.837991]"
"A2Z poly Clinic",TJUAZFOopAb,"A2Z poly Clinic","/m0frOspS7JY/lnOyHhoLzre/Y8sOGpb4AFE/TJUAZFOopAb","A2Z poly Clinic",NONE,
"AA&B  Diagnostic Centre ",WchmHgjmCZR,"AA&B  Diagnostic Centre ","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/WchmHgjmCZR","AA&B  Diagnostic Centre ",POINT,"[39.27466,-6.800753]"
"AAM-International Clinic",yj6imNl5717,"AAM-International Clinic","/m0frOspS7JY/acZHYslyJLt/ts6eEeUjcfO/yj6imNl5717","AAM-International Clinic",NONE,
"AAR  Polyclinic",VN8Jjz61jOE,"AAR  Polyclinic","/m0frOspS7JY/YtVMnut7Foe/lgZ6HfZaj3f/VN8Jjz61jOE","AAR  Polyclinic",POINT,"[36.7018,-3.37317]"
"AAR  Polyclinic",gDvsUi1vnc4,"AAR  Polyclinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/gDvsUi1vnc4","AAR  Polyclinic",POINT,"[39.2856,-6.81643]"
"AAR  Polyclinic",FfS2msBURuh,"AAR  Polyclinic","/m0frOspS7JY/acZHYslyJLt/ts6eEeUjcfO/FfS2msBURuh","AAR  Polyclinic",POINT,"[39.25741,-6.77842]"
"AAR Dispensary",RrDgzNjioAD,"AAR Dispensary","/m0frOspS7JY/hAFRrgDK0fy/f7UPzYMgzVH/RrDgzNjioAD","AAR Dispensary",POINT,"[32.911583,-2.522568]"
"AAR KIA Dispensary",UYe7FLE6mkv,"AAR KIA Dispensary","/m0frOspS7JY/lnOyHhoLzre/MiLb81EwC7j/UYe7FLE6mkv","AAR KIA Dispensary",POINT,"[37.06679,-3.44194]"
"AAR Mbagala  Polyclinic",ieY6CvTTtcl,"AAR Mbagala  Polyclinic","/m0frOspS7JY/acZHYslyJLt/HIOQoi1aeL8/ieY6CvTTtcl","AAR Mbagala  Polyclinic",POINT,"[39.26977,-6.91034]"
"AAR Sinza  Polyclinic",WEodYzuuRvw,"AAR Sinza  Polyclinic","/m0frOspS7JY/acZHYslyJLt/DvHoBaCDtec/WEodYzuuRvw","AAR Sinza  Polyclinic",POINT,"[39.221832,-6.788666]"
"AAR Tabata  Polyclinic",a6eqFyAF1Rz,"AAR Tabata  Polyclinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/a6eqFyAF1Rz","AAR Tabata  Polyclinic",POINT,"[39.20898,-6.84306]"
"AAR Tegeta  Polyclinic",dBjS9vYNceP,"AAR Tegeta  Polyclinic","/m0frOspS7JY/acZHYslyJLt/ts6eEeUjcfO/dBjS9vYNceP","AAR Tegeta  Polyclinic",POINT,"[39.18128,-6.65972]"
"Abbas Medical Centre Dispensary",tyxekfbpsyf,"Abbas Medical Centre Dispensary","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/tyxekfbpsyf","Abbas Medical Centre Dispensary",POINT,"[39.27406,-6.81513]"
"Abbys Health Center",bO5MBGh2Uqj,"Abbys Health Center","/m0frOspS7JY/DWSo42hunXH/jupsOTyKi1W/bO5MBGh2Uqj","Abbys Health Center",POINT,"[31.07279,-6.34429]"
"Abduelrazaq Mohamed Saleh Dispensary",JuBknpUxg2w,"Abduelrazaq Mohamed Saleh Dispensary","/m0frOspS7JY/RD96nI1JXVV/dIiTyLaZAEb/JuBknpUxg2w","Abduelrazaq Mohamed Saleh Dispensary",POINT,"[29.65142,-4.85826]"
"Access Dispensary",WOb7HsVk7W7,"Access Dispensary","/m0frOspS7JY/yyW17iCz9As/QekURU8eIU0/WOb7HsVk7W7","Access Dispensary",POINT,"[38.9324,-6.75485]"
"Access Medical & Diagnostic  Other Clinic",umUTa0SQqFW,"Access Medical & Diagnostic  Other Clinic","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/umUTa0SQqFW","Access Medical & Diagnostic  Other Clinic",NONE,
"Access Medical and Dialysis Clinic",XiBrieBUjvO,"Access Medical and Dialysis Clinic","/m0frOspS7JY/acZHYslyJLt/ts6eEeUjcfO/XiBrieBUjvO","Access Medical and Dialysis Clinic",POINT,"[39.26138,-6.76675]"
"ACDK Clinic - Eye Clinic",de6CoNpXsxk,"ACDK Clinic - Eye Clinic","/m0frOspS7JY/qg5ySBw9X5l/P1TuGaaZ981/de6CoNpXsxk","ACDK Clinic - Eye Clinic",POINT,"[36.5677,-5.32693]"
