area_id,map_level,map_name,map_id,map_source
UGA,0,MOH - Uganda,akV6429SUqu,DHIS2
UGA_3_001,2,Abim District,NREoMszwQZW,DHIS2
UGA_3_002,2,Adjumani District,QYiQ2KqgCxj,DHIS2
UGA_3_003,2,Agago District,ztIyIYAzFKp,DHIS2
UGA_3_004,2,Alebtong District,p7EEgDEX3jT,DHIS2
UGA_3_005,2,Amolatar District,ZuQHWOaFQVM,DHIS2
UGA_3_006,2,Amudat District,a8RHFdF4DXL,DHIS2
UGA_3_007,2,Amuria District,TM6ccNxawqy,DHIS2
UGA_3_008,2,Amuru District,C0RSe3EWBqU,DHIS2
UGA_3_009,2,Apac District,JyZJhGXKeEq,DHIS2
UGA_3_010,2,Arua District,WcB3kLlgRTb,DHIS2
UGA_3_011,2,Budaka District,kb7iUQISRlx,DHIS2
UGA_3_012,2,Bududa District,AhwgeZQYj16,DHIS2
UGA_3_013,2,Bugiri District,gUaoj8Geuao,DHIS2
UGA_3_014,2,Bugweri District,AIonX4LaJeU,DHIS2
UGA_3_015,2,Buhweju District,sWoNWQZ9qrD,DHIS2
UGA_3_016,2,Buikwe District,x75Yh65MaUa,DHIS2
UGA_3_017,2,Bukedea District,tdZbtg9sZkO,DHIS2
UGA_3_018,2,Bukomansimbi District,Ame30QOwuX6,DHIS2
UGA_3_019,2,Bukwo District,e8m9ZYMRoeR,DHIS2
UGA_3_020,2,Bulambuli District,auLatLbcOxf,DHIS2
UGA_3_021,2,Buliisa District,CQTmrrriwOq,DHIS2
UGA_3_022,2,Bundibugyo District,g8M1cWRJZV6,DHIS2
UGA_3_023,2,Bunyangabu District,iTfbtn6JUsN,DHIS2
UGA_3_024,2,Bushenyi District,It5UGwdHAPF,DHIS2
UGA_3_025,2,Busia District,lkuO79O6mRx,DHIS2
UGA_3_026,2,Butaleja District,MtpE3CH6vq3,DHIS2
UGA_3_027,2,Butambala District,a3LMKP8z8Xj,DHIS2
UGA_3_028,2,Butebo District,FDPqRvcW3NN,DHIS2
UGA_3_029,2,Buvuma District,aZLZPPjqft0,DHIS2
UGA_3_030,2,Buyende District,F3ccON3OCsL,DHIS2
UGA_3_031,2,Dokolo District,wMQ25dybdgH,DHIS2
UGA_3_032,2,Gomba District,lQj3yMM1lI7,DHIS2
UGA_3_033,2,Gulu District,Gwk4wkLz7EW,DHIS2
UGA_3_034,2,Hoima District,PJFtfCyp6Rb,DHIS2
UGA_3_035,2,Ibanda District,r8WLxW9JwsS,DHIS2
UGA_3_036,2,Iganga District,oNxpMjveyZt,DHIS2
UGA_3_037,2,Isingiro District,UaR7OHycj8c,DHIS2
UGA_3_038,2,Jinja District,aJR2ZxSH7g4,DHIS2
UGA_3_039,2,Kaabong District,eOJUW6OGpc7,DHIS2
UGA_3_040,2,Kabale District,zBIpPzKYFLp,DHIS2
UGA_3_041,2,Kabarole District,m77oR1YJESj,DHIS2
UGA_3_042,2,Kaberamaido District,QoRZB7xc3j9,DHIS2
UGA_3_043,2,Kagadi District,orgY0d5MJa9,DHIS2
UGA_3_044,2,Kakumiro District,Lnewt3iIJaK,DHIS2
UGA_3_045,2,Kalaki District,M38KNmhELOH,DHIS2
UGA_3_046,2,Kalangala District,JrHILmtK0OU,DHIS2
UGA_3_047,2,Kaliro District,kJCEJnXLgnh,DHIS2
UGA_3_048,2,Kalungu District,ahyi8Uq4vaj,DHIS2
UGA_3_049,2,Kampala District,aXmBzv61LbM,DHIS2
UGA_3_050,2,Kamuli District,oyygQ2STBST,DHIS2
UGA_3_051,2,Kamwenge District,uCVQXAdKqL9,DHIS2
UGA_3_052,2,Kanungu District,aphcy5JTnd6,DHIS2
UGA_3_053,2,Kapchorwa District,aginheWSLef,DHIS2
UGA_3_054,2,Kapelebyong District,mvN9LBbpf7X,DHIS2
UGA_3_055,2,Karenga District,ZzNu8NVq6pq,DHIS2
UGA_3_056,2,Kasese District,aa8xVDzSpte,DHIS2
UGA_3_057,2,Kassanda District,Pvl4FVXO0RD,DHIS2
UGA_3_058,2,Katakwi District,cSrCFjPKqcG,DHIS2
UGA_3_059,2,Kayunga District,ykxQEnZGXkj,DHIS2
UGA_3_060,2,Kazo District,Dzsu26SwfcD,DHIS2
UGA_3_061,2,Kibaale District,tM3DsJxMaMX,DHIS2
UGA_3_062,2,Kiboga District,GLHh0BXys9w,DHIS2
UGA_3_063,2,Kibuku District,Oyxwe3iDqpR,DHIS2
UGA_3_064,2,Kikuube District,L5WBetpBpY3,DHIS2
UGA_3_065,2,Kiruhura District,qf9xWZu7Dq8,DHIS2
