area_id,map_level,map_name,map_id,map_source
zanzi_0_1,0,Zanzibar,UNSNiNqkzEM,DHIS2
zanzi_1_1,1,Unguja,l9kxy7vLv6t,DHIS2
zanzi_1_2,1,Pemba,lHwuEQcm5Nc,DHIS2
zanzi_2_1,2,Kaskazini Unguja,W6jJDTk3bbV,DHIS2
zanzi_2_2,2,Kaskazini Pemba,HooiQsUf6Ld,DHIS2
zanzi_2_3,2,Mjini Magharibi,vQeQa5EYuLG,DHIS2
zanzi_2_4,2,Kusini Unguja,gwhjcchc79h,DHIS2
zanzi_2_5,2,Kusini Pemba,E7kSZ0kTydr,DHIS2
zanzi_3_1,3,Wete,TwPFnc8lCic,DHIS2
zanzi_3_2,3,Mjini,eCeku5fUWg8,DHIS2
zanzi_3_3,3,Magharibi B,WfqqlQpZcvR,DHIS2
zanzi_3_4,3,Magharibi A,Nyd7qIdoR4R,DHIS2
zanzi_3_5,3,Mkoani,k8V8c7k7N6r,DHIS2
zanzi_3_6,3,Kaskazini A,BMypT6EsqYe,DHIS2
zanzi_3_7,3,Kaskazini B,CUj7PGZc7hz,DHIS2
zanzi_3_8,3,Chake Chake,pL1wFa44qlV,DHIS2
zanzi_3_9,3,Micheweni,hPM1tktxcGD,DHIS2
zanzi_3_10,3,Kati,KugzhF5keVO,DHIS2
zanzi_3_11,3,Kusini,ZKOfi7Uxr50,DHIS2
zanzi_4_1,4,Mwembe Madema,hoQqEO35AWR,DHIS2
zanzi_4_2,4,Kisongoni,uu8lEv4LFfn,DHIS2
zanzi_4_3,4,Kitope,lUd2ukAgfdx,DHIS2
zanzi_4_4,4,Mwembe Majogoo,HOxE8Nn54fY,DHIS2
zanzi_4_5,4,Kitogani,t68liEeFWyp,DHIS2
zanzi_4_6,4,Mwembeladu,jROaSbd45rw,DHIS2
zanzi_4_7,4,Mwembemakumbi,yZqw2s1xeyW,DHIS2
zanzi_4_8,4,Kisiwandui,LrQAr3LrPAV,DHIS2
zanzi_4_9,4,Kisiwa Panza,lK9iji290lx,DHIS2
zanzi_4_10,4,Kisimajongoo,Ja0OCsxSjRl,DHIS2
zanzi_4_11,4,Kiungani,AL1de7AHDhX,DHIS2
zanzi_4_12,4,Kisauni,LAphXQ13MAD,DHIS2
zanzi_4_13,4,Mwembeshauri,Vio0CFpp1p7,DHIS2
zanzi_4_14,4,Kiponda,Pjnn5S4kCuq,DHIS2
zanzi_4_15,4,Kipangani,k4NtAtd6cCT,DHIS2
zanzi_4_16,4,Mwembetanga,X87poq3Yefa,DHIS2
zanzi_4_17,4,Kiongwe Kidogo,cRBHgwzHRFN,DHIS2
zanzi_4_18,4,Kiongoni,oqvo7UiQdfm,DHIS2
zanzi_4_19,4,Kisiwani,fbapxmVisMi,DHIS2
zanzi_4_20,4,Kiungoni,P6hZTIK4TaC,DHIS2
zanzi_4_21,4,Zuwiyani,lIiYl2jjoc2,DHIS2
zanzi_4_22,4,Mwanyanya,eWHWj7S1UBV,DHIS2
zanzi_4_23,4,Kiwengwa,LdHnSLJyQUH,DHIS2
zanzi_4_24,4,Mtemani,zYUHesr4MDT,DHIS2
zanzi_4_25,4,Kiwani,aMD7vdCsXWJ,DHIS2
zanzi_4_26,4,Mtemani,SJRZin5gyTP,DHIS2
zanzi_4_27,4,Mtende,GboPqzpNQax,DHIS2
zanzi_4_28,4,Mto Pepo,OEQb3GCa09t,DHIS2
zanzi_4_29,4,Mto wa Pwani,deipR1liBD0,DHIS2
zanzi_4_30,4,Mtofaani,OD9KdoARTnA,DHIS2
zanzi_4_31,4,Mtoni,pgjjSF4h295,DHIS2
zanzi_4_32,4,Mtoni Kidutani,JzJohPmegDf,DHIS2
zanzi_4_33,4,Mtoni Kigomeni,PxeEL2pM9JQ,DHIS2
zanzi_4_34,4,Muambe,WXDpxeejeYL,DHIS2
zanzi_4_35,4,Kiuyu Kigongoni,Guqosmg5xHn,DHIS2
zanzi_4_36,4,Muungano,AhJPvgEzbhw,DHIS2
zanzi_4_37,4,Muwanda,qx1Xs23S7Wf,DHIS2
zanzi_4_38,4,Muwange,nExp7nfwwoH,DHIS2
zanzi_4_39,4,Muyuni 'A',H5yv5Fpf432,DHIS2
zanzi_4_40,4,Muyuni 'B',t9UWDLCZlnK,DHIS2
zanzi_4_41,4,Muyuni 'C',qeXeb76z07U,DHIS2
zanzi_4_42,4,Mvumoni,GeXIoKJNFMG,DHIS2
zanzi_4_43,4,Mwakaje,QKIfACIj2I4,DHIS2
zanzi_4_44,4,Mwanakwerekwe,RtxcTcmWkWd,DHIS2
zanzi_4_45,4,Mwera,Df2PgBSQqHi,DHIS2
zanzi_4_46,4,Kivunge,MrnC3l9GZai,DHIS2
zanzi_4_47,4,Kiuyu Mbuyuni,UNZ7Rkut17n,DHIS2
zanzi_4_48,4,Kiuyu Maziwa Ng'ombe,PEdoXPNwLug,DHIS2
zanzi_4_49,4,Muungoni,akTlAHWUoes,DHIS2
zanzi_4_50,4,Kiomba Mvua,bgfbQkoYOes,DHIS2
zanzi_4_51,4,Kinowe,xa1xGkSd1xh,DHIS2
zanzi_4_52,4,Kinyasini,YRurpLNyhZi,DHIS2
zanzi_4_53,4,Kidombo,A7xFpQbeMe4,DHIS2
zanzi_4_54,4,Ndijani Mseweni,urH08ctBd12,DHIS2
zanzi_4_55,4,Kidimni,AR0fqfEYnRt,DHIS2
zanzi_4_56,4,Kidanzini,Epx6opnc5gj,DHIS2
zanzi_4_57,4,Kichungwani,ZZomofhnR6H,DHIS2
zanzi_4_58,4,Kichungwani,wTdkuVosJjS,DHIS2
zanzi_4_59,4,Kibweni,uIefvewwrFU,DHIS2
zanzi_4_60,4,Ndijani Muembe Punda,fdhUMpKQqLz,DHIS2
zanzi_4_61,4,Kibuteni,TkdzF82KCYu,DHIS2
zanzi_4_62,4,Kibokoni,eYBMkws0FSy,DHIS2
zanzi_4_63,4,Kiboje Mwembe Shauri,H92KPyUUj3U,DHIS2
zanzi_4_64,4,Kiboje Mkwajuni,ThDeRdJ4tBB,DHIS2
zanzi_4_65,4,Kibeni,opBNlVN9ZM9,DHIS2
zanzi_4_66,4,Mchangani,mvbzGDHV3d8,DHIS2
zanzi_4_67,4,Kengeja,Z6abroHtDZq,DHIS2
zanzi_4_68,4,Ng'ambwa,JOXR8sC4tdK,DHIS2
zanzi_4_69,4,Kendwa,fhPMJcpTD5P,DHIS2
zanzi_4_70,4,Karakana,cIVe2kpkxGB,DHIS2
zanzi_4_71,4,Ng'ambwa,bGLkeheuY8K,DHIS2
zanzi_4_72,4,Kangani,cvhVDLUGBSG,DHIS2
zanzi_4_73,4,Ng'ombeni,NR73i0EaOgt,DHIS2
zanzi_4_74,4,Kangagani,KqbUh2Y6kbm,DHIS2
zanzi_4_75,4,Kandwi,Oho2OYMi5QM,DHIS2
zanzi_4_76,4,Nganani,PWKAmIn47MQ,DHIS2
zanzi_4_77,4,Kambini,OwUFngiICeL,DHIS2
zanzi_4_78,4,Kidongo Chekundu,GxUrAXBZgiF,DHIS2
zanzi_4_79,4,Kinyasini,yppO4nBqbSG,DHIS2
zanzi_4_80,4,Kidoti,pCjf93fqe2z,DHIS2
zanzi_4_81,4,Mzuri,DbQVM7vtqok,DHIS2
zanzi_4_82,4,Kinyasini,SRJcg64DE3T,DHIS2
zanzi_4_83,4,Kinuni,Api8xYnfVfl,DHIS2
zanzi_4_84,4,Mtangani,ihUKZtYg9gv,DHIS2
zanzi_4_85,4,Kinduni,RwIHcmJb4gW,DHIS2
zanzi_4_86,4,Kilombero,n2qoobsOTn1,DHIS2
zanzi_4_87,4,Kilindi,U5y4F3VLsDi,DHIS2
zanzi_4_88,4,Kilindi,GDPvvFPtPsp,DHIS2
zanzi_4_89,4,Kilimani,LgPqJ0nDANL,DHIS2
zanzi_4_90,4,Kilimani,x9wYIAP4ONY,DHIS2
zanzi_4_91,4,Kilimahewa juu,lR3SF7JtaHA,DHIS2
zanzi_4_92,4,Kilimahewa Bondeni,tf5LTT5j2vr,DHIS2
zanzi_4_93,4,Kikwajuni Juu,JGNQ1kJwGB1,DHIS2
zanzi_4_94,4,Kikwajuni Bondeni,rYEwQ3Wmt4A,DHIS2
zanzi_4_95,4,Kikungwi,UhlthEQw8KF,DHIS2
zanzi_4_96,4,Kikobweni,hEWYJd5RaVs,DHIS2
zanzi_4_97,4,Kijini 2,T4hk3npCbQt,DHIS2
zanzi_4_98,4,Kijini,d0uVVzZ8QNC,DHIS2
zanzi_4_99,4,Kijichi,ATe7Z85u6ul,DHIS2
zanzi_4_100,4,Kijibwe Mtu,AD3UwPteSNj,DHIS2
zanzi_4_101,4,Kihinani,hUTDgFU4Obp,DHIS2
zanzi_4_102,4,Kigunda,z8uIBdt0oKN,DHIS2
zanzi_4_103,4,Kigomani,fp6Cnue0RmX,DHIS2
zanzi_4_104,4,Mzambarau Takao,nH81EHUTN1I,DHIS2
zanzi_4_105,4,Kifundi,sqhT4l2Rc6D,DHIS2
zanzi_4_106,4,Kiembe Samaki,DEJm4qBI0Wq,DHIS2
zanzi_4_107,4,Ndagoni,ZvOb5Cjqx4I,DHIS2
zanzi_4_108,4,Kizimbani,LYtCupV2ttq,DHIS2
zanzi_4_109,4,Mtakuja,Y47ksrSpFlj,DHIS2
zanzi_4_110,4,Mtambwe Kusini,fl2DnCHzaoY,DHIS2
zanzi_4_111,4,Marumbi,Xfu7iCIg6Rx,DHIS2
zanzi_4_112,4,Maruhubi,NE2i8768crJ,DHIS2
zanzi_4_113,4,Mgogoni,N2t7BIr684f,DHIS2
zanzi_4_114,4,Mapinduzi,JCl7729SPnM,DHIS2
zanzi_4_115,4,Mangapwani,LWf8fvbX0fp,DHIS2
zanzi_4_116,4,Mambosasa,MxUkUWxUJmD,DHIS2
zanzi_4_117,4,Malindi,OCVkg4CJ2xg,DHIS2
zanzi_4_118,4,Michamvi,GVDVXAG7KfH,DHIS2
zanzi_4_119,4,Michenzani,bgaxTtVyxyV,DHIS2
zanzi_4_120,4,Micheweni,ugBfanqZ6L4,DHIS2
zanzi_4_121,4,Michungwani,X4gEwmFfDCi,DHIS2
zanzi_4_122,4,Michungwani,yn4bnCebOiu,DHIS2
zanzi_4_123,4,Miembeni,D6qaWF8A2eR,DHIS2
zanzi_4_124,4,Migombani,SGECY7x96f3,DHIS2
zanzi_4_125,4,Mihogoni,eUs9ImPVVzN,DHIS2
zanzi_4_126,4,Mikarafuuni,d9zO67bffJf,DHIS2
zanzi_4_127,4,Mikunguni,mbtgvqaSX4H,DHIS2
zanzi_4_128,4,Minazini,P3fX5aci5yV,DHIS2
zanzi_4_129,4,Minungwini,BIreQIsGCsn,DHIS2
zanzi_4_130,4,Misufini,Ube3axLwmg7,DHIS2
zanzi_4_131,4,Mitakawani,F7d6lS2Qv3S,DHIS2
zanzi_4_132,4,Mitiulaya,ZvE9BvS6mFL,DHIS2
zanzi_4_133,4,Miwani,JLuCommbz63,DHIS2
zanzi_4_134,4,Makoongwe,ccil8oNrOkj,DHIS2
zanzi_4_135,4,Mizingani,cDIQTK5UFLr,DHIS2
zanzi_4_136,4,Mgogoni,v9vqKfbPa7a,DHIS2
zanzi_4_137,4,Makondeko,YnFv5sA2jCJ,DHIS2
zanzi_4_138,4,Mgeni Haji,XNUCJEphop1,DHIS2
zanzi_4_139,4,Masumbani,QzvaTAq6UCO,DHIS2
zanzi_4_140,4,Mchangani,Ee400YxTxou,DHIS2
zanzi_4_141,4,Mchanga Mdogo,SqCHiuvEaef,DHIS2
zanzi_4_142,4,Mbweni,Kwsm7wiFxB5,DHIS2
zanzi_4_143,4,Melinne,H0ETQD1R3Ge,DHIS2
zanzi_4_144,4,Meya,SvPH9tEUED3,DHIS2
zanzi_4_145,4,Mbuzini,vfuVB7BZGt7,DHIS2
zanzi_4_146,4,Mbuzini,Y127oe9KcFI,DHIS2
zanzi_4_147,4,Mbuyuni,jrrUmrn7QWX,DHIS2
zanzi_4_148,4,Mbuyu Tende,CH4ZylakLTs,DHIS2
zanzi_4_149,4,Mbuguani,ZbIOVLA4v1L,DHIS2
zanzi_4_150,4,Mboriborini,NKf7MXjuF8B,DHIS2
zanzi_4_151,4,Mbaleni,ylDW9PsJuT0,DHIS2
zanzi_4_152,4,Maziwani,axsBfBIgDaD,DHIS2
zanzi_4_153,4,Mfenesini,Zop2rtecklS,DHIS2
zanzi_4_154,4,Mfikiwa,pJfqZgYbGTQ,DHIS2
zanzi_4_155,4,Mgagadu,bHbf2okYWm0,DHIS2
zanzi_4_156,4,Maungani,O0J3VDIWVDB,DHIS2
zanzi_4_157,4,Matetema,SBKwrUrMkYs,DHIS2
zanzi_4_158,4,Mgambo,GMC3eD7liJO,DHIS2
zanzi_4_159,4,Mgelema,pKLW8Wh9YFa,DHIS2
zanzi_4_160,4,Matemwe Kusini,r28UzmqegYq,DHIS2
zanzi_4_161,4,Matemwe Kaskazini,YxndHXjhNi4,DHIS2
zanzi_4_162,4,Mgelema,uA5HhRr5pAQ,DHIS2
zanzi_4_163,4,Matarumbeta ,Gxv6VLWs7HL,DHIS2
zanzi_4_164,4,Matale,Fov6JaERlU2,DHIS2
zanzi_4_165,4,Masingini,DQd4TJNKdUi,DHIS2
zanzi_4_166,4,Kizimbani,xpMSRo2i96u,DHIS2
zanzi_4_167,4,Makombeni,unABSwa9amP,DHIS2
zanzi_4_168,4,Makangale,cduz3cqp9CY,DHIS2
zanzi_4_169,4,Kwa Boko,tkbxTTfyXVQ,DHIS2
zanzi_4_170,4,Mlandege,pV6IW3ywRfo,DHIS2
zanzi_4_171,4,Kuukuu,LhdcLW3xEFb,DHIS2
zanzi_4_172,4,Mlindo,Geq83E2seYV,DHIS2
zanzi_4_173,4,Kumvini,trq3GuFYuzr,DHIS2
zanzi_4_174,4,Mnarani,lOfPIpYzHIY,DHIS2
zanzi_4_175,4,Konde,YPLmgCLZSbI,DHIS2
zanzi_4_176,4,Mnazimmoja,JcfhItfykzZ,DHIS2
zanzi_4_177,4,Kombeni,yzrzSxO6LpJ,DHIS2
zanzi_4_178,4,Mnyimbi,pRmTftzidAD,DHIS2
zanzi_4_179,4,Kojani,Ztn5nMxcGYt,DHIS2
zanzi_4_180,4,Koani,FbVHC51UqUR,DHIS2
zanzi_4_181,4,Moga,UwIjnnifMSR,DHIS2
zanzi_4_182,4,Mombasa,piaJUAeoCFx,DHIS2
zanzi_4_183,4,Mpambani,NO49r0cXC22,DHIS2
zanzi_4_184,4,Mpapa,GGOPhZhLfuR,DHIS2
zanzi_4_185,4,Mpendae,AGIbXwQT7TC,DHIS2
zanzi_4_186,4,Msingini,JjJTUzKMkz9,DHIS2
zanzi_4_187,4,Msuka Magahribi,oyzogDtOlcc,DHIS2
zanzi_4_188,4,Msuka Mashariki,YmPGTlIN9aj,DHIS2
zanzi_4_189,4,Kama,kqM4RvzwvgS,DHIS2
zanzi_4_190,4,Mtambile,YkuTXOp4zxu,DHIS2
zanzi_4_191,4,Kizimkazi Mkunguni,Mi9MC6xABIM,DHIS2
zanzi_4_192,4,Mtambwe Kaskazini,hjUT0nUP5OD,DHIS2
zanzi_4_193,4,Kizimkazi Dimbani,A7rl116uvCc,DHIS2
zanzi_4_194,4,Kwaalimsha,QLwiba4tDg8,DHIS2
zanzi_4_195,4,Mjimbini,KGcHkVi8YeE,DHIS2
zanzi_4_196,4,Kwaalinato,bfVKOAXpXU7,DHIS2
zanzi_4_197,4,Kwale,TgpazTYxcRJ,DHIS2
zanzi_4_198,4,Makadara,ZbLTschkvhI,DHIS2
zanzi_4_199,4,Majenzi,eB4VpR61tLo,DHIS2
zanzi_4_200,4,Mjini Ole,mZI07xbv3Mh,DHIS2
zanzi_4_201,4,Mjini Wingwi,BdJ76igfU2p,DHIS2
zanzi_4_202,4,Mahonda,efpuHhmpoep,DHIS2
zanzi_4_203,4,Magomeni,PQOvnbvYtVS,DHIS2
zanzi_4_204,4,Mkadini,rgFzgeyLx4j,DHIS2
zanzi_4_205,4,Magogoni,fMa37FKReZG,DHIS2
zanzi_4_206,4,Magogoni,NmiFLgufofG,DHIS2
zanzi_4_207,4,Mkanyageni,lJ6dzXZot9b,DHIS2
zanzi_4_208,4,Mkataleni,kN5ka6FECyN,DHIS2
zanzi_4_209,4,Mafufuni,zAjUPohSW7i,DHIS2
zanzi_4_210,4,Madungu,gdnk8xlt4vP,DHIS2
zanzi_4_211,4,Mkele,faN9YO3iASC,DHIS2
zanzi_4_212,4,Machui,f1vGHfVRnUd,DHIS2
zanzi_4_213,4,Mkokotoni,LA9HXzI4J9e,DHIS2
zanzi_4_214,4,Mkoroshoni,kMaaBMcvDMH,DHIS2
zanzi_4_215,4,Limbani,Liped27Gdh4,DHIS2
zanzi_4_216,4,Mkunazin,vcBBv0TA4F8,DHIS2
zanzi_4_217,4,Kwawazee,rHGY6DlrI5r,DHIS2
zanzi_4_218,4,Kwamtumwajeni,Y81Mtz7zDFd,DHIS2
zanzi_4_219,4,Mkungu,pbZNhy9Fi2O,DHIS2
zanzi_4_220,4,Kwamtipura,ZQ9eDJVm1aG,DHIS2
zanzi_4_221,4,Mkwajuni,zsiCPZBfqB1,DHIS2
zanzi_4_222,4,Kwamchina,NRmsOJwB4lC,DHIS2
zanzi_4_223,4,Kwahani,JQ2YSy5iqIx,DHIS2
zanzi_4_224,4,Kajengwa,kNWZCun2fa2,DHIS2
zanzi_4_225,4,Kianga,H0DWZCGSwPU,DHIS2
zanzi_4_226,4,Shungi,Czzww56Pw89,DHIS2
zanzi_4_227,4,Sizini,AS3ylpVi9eu,DHIS2
zanzi_4_228,4,Sogea,xrrHCnuJPyN,DHIS2
zanzi_4_229,4,Sokoni,CYFYInuEOUf,DHIS2
zanzi_4_230,4,Stahabu,eY9MWEnDMYw,DHIS2
zanzi_4_231,4,Taveta,K6Xfahu4w68,DHIS2
zanzi_4_232,4,Tazari,TgicrWKdLxu,DHIS2
zanzi_4_233,4,Tibirinzi,figtjLWHyw7,DHIS2
zanzi_4_234,4,Tindini,QIr7v2hWdT4,DHIS2
zanzi_4_235,4,Ngwachani,rfWSFacNAf6,DHIS2
zanzi_4_236,4,Tomondo,jUxrI1h0W9p,DHIS2
zanzi_4_237,4,Chaani Masingini,CNA01W4zi20,DHIS2
zanzi_4_238,4,Tondooni,SIEt8OJseze,DHIS2
zanzi_4_239,4,Chaani Kubwa,EuIgI4OmTnu,DHIS2
zanzi_4_240,4,Tumbatu Gomani,poD6rfH9iMK,DHIS2
zanzi_4_241,4,Bwereu,tIMrJKWsLyB,DHIS2
zanzi_4_242,4,Bweleo,LOpTlfdbB3t,DHIS2
zanzi_4_243,4,Bwejuu,OAXVbzGsesE,DHIS2
zanzi_4_244,4,Tumbatu Jongowe,cU3iQb1BNVy,DHIS2
zanzi_4_245,4,Chachani,odWAC96I6OB,DHIS2
zanzi_4_246,4,Shumba Viamboni,FikIoOCMqT4,DHIS2
zanzi_4_247,4,Shumba Mjini,pAszNs3Hb1f,DHIS2
zanzi_4_248,4,Shidi,n1dJTIhnZlm,DHIS2
zanzi_4_249,4,Chumbageni,wbZ2RTq3500,DHIS2
zanzi_4_250,4,Chukwani,knkZsyMTOjC,DHIS2
zanzi_4_251,4,Chuini,GXuMELICRze,DHIS2
zanzi_4_252,4,Chuchumile,V7Yqpv83DTp,DHIS2
zanzi_4_253,4,Sebleni,bFxyuBPx2qZ,DHIS2
zanzi_4_254,4,Chonga,Nn2ZQbgiwVJ,DHIS2
zanzi_4_255,4,Chokocho,sqeqQdkjgH4,DHIS2
zanzi_4_256,4,Selem,k8f7pNKiuD2,DHIS2
zanzi_4_257,4,Cheju,AETNJMykvCF,DHIS2
zanzi_4_258,4,Charawe,OThXBG9Gikk,DHIS2
zanzi_4_259,4,Chanjaani,Dys4af33CHQ,DHIS2
zanzi_4_260,4,Changaweni,GxM4yQJtdko,DHIS2
zanzi_4_261,4,Shakani,ZXwotWqqH21,DHIS2
zanzi_4_262,4,Chambani,zstbxII28o7,DHIS2
zanzi_4_263,4,Shamiani,gJMfWDBrb5n,DHIS2
zanzi_4_264,4,Shangani,VyelnLQMHAQ,DHIS2
zanzi_4_265,4,Sharifumsa,AYDOnffMAGe,DHIS2
zanzi_4_266,4,Shaurimoyo,CN5520kUfmg,DHIS2
zanzi_4_267,4,Shengejuu,A16TBe59jn1,DHIS2
zanzi_4_268,4,Bungi,vthTLEd09wY,DHIS2
zanzi_4_269,4,Tumbatu Uvivini,mEtjMVy3ebn,DHIS2
zanzi_4_270,4,Bumbwisudi,dGj6n3MLvIG,DHIS2
zanzi_4_271,4,Tumbe Magharibi,hUtg5rw0zfq,DHIS2
zanzi_4_272,4,Utaani,B6MHw4WlgKF,DHIS2
zanzi_4_273,4,Uwandani,NSRmAbmS9N6,DHIS2
zanzi_4_274,4,Uweleni,RPMsxJlKZRv,DHIS2
zanzi_4_275,4,Uzi,avdx0Sp1p9b,DHIS2
zanzi_4_276,4,Uzi,mLiEcYq1Ikv,DHIS2
zanzi_4_277,4,Uzini,AsJ1J1nZHWy,DHIS2
zanzi_4_278,4,Vikokotoni,xtItVgfY84k,DHIS2
zanzi_4_279,4,Vitongoji,Xab4Y7ZBHwo,DHIS2
zanzi_4_280,4,Amaani,gwmsvWGSld0,DHIS2
zanzi_4_281,4,Wambaa,ZCXjO6Ejoaq,DHIS2
zanzi_4_282,4,Wara,AoKK52hrpV7,DHIS2
zanzi_4_283,4,Wawi,ArnnquvmQVF,DHIS2
zanzi_4_284,4,Welezo,wyRSvjHq0uW,DHIS2
zanzi_4_285,4,Wesha,zGqeRtKBjyO,DHIS2
zanzi_4_286,4,Wingwi Mapofu,ZLNpHK5jr3A,DHIS2
zanzi_4_287,4,Wingwi Mjananza,zuDwSjDi7dx,DHIS2
zanzi_4_288,4,Wingwi Njuguni,EwiidEW4xZn,DHIS2
zanzi_4_289,4,Zingwe Zingwe,t6Ck2hp7qqI,DHIS2
zanzi_4_290,4,Ziwani,pOwJn0EvGJt,DHIS2
zanzi_4_291,4,Urusi,Y38W0LUvoSS,DHIS2
zanzi_4_292,4,Chumbuni,RFfHM1HJVAm,DHIS2
zanzi_4_293,4,Uroa,wUVdxdW0PHW,DHIS2
zanzi_4_294,4,Unguja Ukuu Kaepwani,BYLXGEZY8dE,DHIS2
zanzi_4_295,4,Bumbwini Misufini,RsYNgl9vndC,DHIS2
zanzi_4_296,4,Tumbe Mashariki,LVy3jeaQ3sS,DHIS2
zanzi_4_297,4,Bumbwini Makoba,iuwwioe43Ra,DHIS2
zanzi_4_298,4,Bububu,URN0ofHPxEe,DHIS2
zanzi_4_299,4,Bopwe,KvVkfNTQu0o,DHIS2
zanzi_4_300,4,Tunduni,AGFyBlyL6qU,DHIS2
zanzi_4_301,4,Bitihamrani,wmpevxJbLnR,DHIS2
zanzi_4_302,4,Binguni,hH0nLOcj1mq,DHIS2
zanzi_4_303,4,Banko,u29BNHQXbvs,DHIS2
zanzi_4_304,4,Tungu,z7tqGxOkPYe,DHIS2
zanzi_4_305,4,Bandamaji,tpyGfVS0nGY,DHIS2
zanzi_4_306,4,Bandakuu,J6nQw2Y0CYz,DHIS2
zanzi_4_307,4,Tunguu,rtlpv95MTFl,DHIS2
zanzi_4_308,4,Bambi,CDoIIjwyHE7,DHIS2
zanzi_4_309,4,Ubago,VUcF8ikxA4i,DHIS2
zanzi_4_310,4,Ukongoroni,M2R8B4n0Fw1,DHIS2
zanzi_4_311,4,Ukunjwi,wgrUGaFPfDV,DHIS2
zanzi_4_312,4,Ukutini,nPnHbAQUdYa,DHIS2
zanzi_4_313,4,Umbuji,AO6VdzMg0ZS,DHIS2
zanzi_4_314,4,Upenja,roQBgxpjVSV,DHIS2
zanzi_4_315,4,Chutama,IWpE2e3t37y,DHIS2
zanzi_4_316,4,Mchenza Shauri,DWxBJ8VLMn7,DHIS2
zanzi_4_317,4,Jadida,ro7pWGye7o9,DHIS2
zanzi_4_318,4,Nyerere,t71iwJ48xD3,DHIS2
zanzi_4_319,4,Jambiani Kibigija,EYyNCbZ0RoW,DHIS2
zanzi_4_320,4,Fuoni Migombani,I7DjwMWiQWo,DHIS2
zanzi_4_321,4,Pwani Mchangani,uuYQbUTxCH5,DHIS2
zanzi_4_322,4,Pete,tAzxzMZ94Cq,DHIS2
zanzi_4_323,4,Jambiani Kikadini,JEadmkI6nlm,DHIS2
zanzi_4_324,4,Dunga Bweni,gsge0xiuc0G,DHIS2
zanzi_4_325,4,Dongwe,DtmLYOYwB30,DHIS2
zanzi_4_326,4,Fuoni Uwandani,SFrb03cNOnS,DHIS2
zanzi_4_327,4,Donge Vijibweni,GxBX9QKjhmP,DHIS2
zanzi_4_328,4,Jango'mbe,tmsljjR5DQ0,DHIS2
zanzi_4_329,4,Chwaka,VEVelWwjbOv,DHIS2
zanzi_4_330,4,Donge Pwani,NQOix7JxsvV,DHIS2
zanzi_4_331,4,Fumba,eSE9rW5KT8M,DHIS2
zanzi_4_332,4,Nyamanzi,lO06ilqYBS8,DHIS2
zanzi_4_333,4,Pagali,BGVaXyekgdH,DHIS2
zanzi_4_334,4,Fuoni Kipungani,zy1RBFeAlmX,DHIS2
zanzi_4_335,4,Fuoni Kijitoupele,Gwvt8oUyKoY,DHIS2
zanzi_4_336,4,Fundo,byhoHT6epLS,DHIS2
zanzi_4_337,4,Fujoni,qXZcKhE7JYO,DHIS2
zanzi_4_338,4,Pongwe,ekrds3wEBLG,DHIS2
zanzi_4_339,4,Pitanazako,Dra0c3tarlc,DHIS2
zanzi_4_340,4,Ijitimai,X1WKN5PYKSl,DHIS2
zanzi_4_341,4,Fuoni Chunga,MR4i2ePIr3m,DHIS2
zanzi_4_342,4,Dunga Kiembeni,PijhGsNZmFU,DHIS2
zanzi_4_343,4,Finya,AvP1XiQxObJ,DHIS2
zanzi_4_344,4,Potoa,zjx6mehrqzY,DHIS2
zanzi_4_345,4,Ole,WSwM2RbnUOI,DHIS2
zanzi_4_346,4,Fuoni Ijitimai,ALSN7i8qEIc,DHIS2
zanzi_4_347,4,Pujini,aqm9dtyrFSW,DHIS2
zanzi_4_348,4,Fuoni Kibondeni,GmnCWxVMlhe,DHIS2
zanzi_4_349,4,Piki,gOMeL0EpT7z,DHIS2
zanzi_4_350,4,Ole,SCDbqBC0e3s,DHIS2
zanzi_4_351,4,Donge Mtambile,enG2Wi12UH8,DHIS2
zanzi_4_352,4,Jendele,sazIhW9wB7U,DHIS2
zanzi_4_353,4,Ghana,me35KdLwx35,DHIS2
zanzi_4_354,4,Pale,Ni0zTHu3voo,DHIS2
zanzi_4_355,4,Chwale,QQfsWiFdpNp,DHIS2
