area_id,area_sort_order,map_level,map_name,map_id,map_source
ZMB,1,0,zm Zambia Ministry of Health,Ot1P2HjvtvL,DHIS2
ZMB_1_10,2,1,ce Central Province,AWn3s2RqgAN,DHIS2
ZMB_1_11,3,1,co Copperbelt Province,utIjliUdjp8,DHIS2
ZMB_1_12,4,1,ea Eastern Province,J7PQPWAeRUk,DHIS2
ZMB_1_13,5,1,lu Luapula Province,B1u1bVtIA92,DHIS2
ZMB_1_14,6,1,ls Lusaka Province,KozcEjeTyuD,DHIS2
ZMB_1_15,7,1,mu Muchinga Province,dbTLdTi7s8F,DHIS2
ZMB_1_16,8,1,no Northern Province,SwwuteU1Ajk,DHIS2
ZMB_1_17,9,1,so Southern Province,oPLMrarKeEY,DHIS2
ZMB_1_18,10,1,we Western Province,g1bv2xjtV0w,DHIS2
ZMB_1_19,11,1,nw North Western Province,q5hODNmn021,DHIS2
ZMB_2_1,12,2,ce Chibombo District,oEBf29y8JP8,DHIS2
ZMB_2_2,13,2,ce Chisamba District,HPGiE9Jjh2r,DHIS2
ZMB_2_3,14,2,ce Chitambo District,BxrIbNW7f3K,DHIS2
ZMB_2_4,15,2,ce Itezhi-tezhi District,SQT8xjbvWwf,DHIS2
ZMB_2_5,16,2,ce Kabwe District,sNAdEeUXVUz,DHIS2
ZMB_2_6,17,2,ce Kapiri-Mposhi District,i28jnGjQN10,DHIS2
ZMB_2_7,18,2,ce Luano District,hPzLRPGQhyk,DHIS2
ZMB_2_8,19,2,ce Mkushi District,kbRJIC4LHCT,DHIS2
ZMB_2_9,20,2,ce Mumbwa District,tbIRVsMQUdg,DHIS2
ZMB_2_10,21,2,ce Ngabwe District,ELt9FU92XZD,DHIS2
ZMB_2_11,22,2,ce Serenje District,n0CXsSP6Esm,DHIS2
ZMB_2_12,23,2,co Chililabombwe District,sLIHwiFp41i,DHIS2
ZMB_2_13,24,2,co Chingola District,y3gZjiNvEhh,DHIS2
ZMB_2_14,25,2,co Kalulushi District,d9vCXNPwvvL,DHIS2
