name,id,shortName,path,displayName,geometry
"bu 24 Hour Medical Centre",VWMkdfPIFPU,"24 Hour Medical Centre","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/VWMkdfPIFPU","bu 24 Hour Medical Centre",
"bu Bulawayo Central Hospitals",pIUx4ola8QM,"Bulawayo Central Hospitals",/uLFWBf4qXuv/pIUx4ola8QM,"bu Bulawayo Central Hospitals",
"bu Bulawayo Family Health Clinic",ZTL5TeMdviJ,"Bulawayo Family Health Clinic","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/ZTL5TeMdviJ","bu Bulawayo Family Health Clinic",
"bu Bulawayo Family Medical Clinic",UZqwaoVwvED,"Bulawayo Family Medical Clinic","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/UZqwaoVwvED","bu Bulawayo Family Medical Clinic",
"bu Bulawayo Male Circumcision Centre",QFHrfOC8q6r,"Bulawayo Male Circumcision Centre","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/QFHrfOC8q6r","bu Bulawayo Male Circumcision Centre",
"bu Bulawayo Male Circumcision Centre",BXR3t59Q5K9,"bu Bulawayo Male Circumcision Centre","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/KrcWT2YvrTQ/BXR3t59Q5K9","bu Bulawayo Male Circumcision Centre",
"bu Bulawayo Maternal Health Clinic",rzb4Tw8eRDn,"Bulawayo Maternal Health Clinic","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/rzb4Tw8eRDn","bu Bulawayo Maternal Health Clinic",
"bu Bulawayo Province",bWa0xtpCuC2,"Bulawayo Province",/uLFWBf4qXuv/bWa0xtpCuC2,"bu Bulawayo Province","POLYGON ((28.6075 -20.231, 28.6042 -20.2272, 28.5765 -20.2272, 28.5518 -20.2206, 28.5451 -20.212, 28.5346 -20.2139, 28.5251 -20.2206, 28.5146 -20.231, 28.506 -20.2329, 28.4978 -20.232, 28.5014 -20.2239, 28.5081 -20.2101, 28.512 -20.2014, 28.5097 -20.1975, 28.5069 -20.1944, 28.5034 -20.1912, 28.5006 -20.1885, 28.4939 -20.1896, 28.4888 -20.1877, 28.4849 -20.19, 28.4809 -20.1908, 28.4912 -20.1703, 28.4443 -20.1597, 28.4482 -20.1672, 28.4411 -20.1739, 28.4447 -20.1802, 28.4258 -20.1762, 28.4136 -20.1751, 28.401 -20.1727, 28.3943 -20.1711, 28.3892 -20.1668, 28.3899 -20.1566, 28.3923 -20.1526, 28.4041 -20.1471, 28.4151 -20.1424, 28.4179 -20.1412, 28.4203 -20.138, 28.4226 -20.1325, 28.4159 -20.1219, 28.4157 -20.1152, 28.4201 -20.1073, 28.4228 -20.1026, 28.4256 -20.0963, 28.4272 -20.0845, 28.4236 -20.077, 28.4193 -20.0656, 28.4161 -20.0581, 28.4138 -20.0463, 28.4126 -20.0384, 28.4134 -20.0309, 28.4185 -20.029, 28.4307 -20.0294, 28.4402 -20.0345, 28.4516 -20.0435, 28.4736 -20.0534, 28.4803 -20.0569, 28.4874 -20.0613, 28.4913 -20.0628, 28.5055 -20.0656, 28.513 -20.0605, 28.5252 -20.0463, 28.5441 -20.0451, 28.5526 -20.0439, 28.5707 -20.0361, 28.5802 -20.0357, 28.5837 -20.0384, 28.5833 -20.0628, 28.575 -20.0766, 28.5861 -20.0794, 28.5951 -20.0861, 28.5939 -20.088, 28.6065 -20.0967, 28.6054 -20.0928, 28.6077 -20.0892, 28.6069 -20.0861, 28.6089 -20.0841, 28.6105 -20.0849, 28.6109 -20.0865, 28.6136 -20.0872, 28.6164 -20.088, 28.6184 -20.088, 28.6203 -20.0892, 28.6231 -20.0896, 28.6262 -20.0939, 28.6286 -20.0951, 28.6266 -20.0998, 28.6274 -20.1006, 28.6313 -20.1006, 28.6329 -20.1042, 28.6349 -20.1026, 28.6404 -20.0916, 28.6467 -20.0928, 28.6562 -20.0683, 28.668 -20.0683, 28.6617 -20.0841, 28.6621 -20.0853, 28.6605 -20.0896, 28.6573 -20.0892, 28.6569 -20.1006, 28.6518 -20.1136, 28.6542 -20.1132, 28.6573 -20.1113, 28.668 -20.1136, 28.6753 -20.1132, 28.6772 -20.1144, 28.6516 -20.1534, 28.6638 -20.1636, 28.663 -20.166, 28.667 -20.168, 28.6701 -20.1692, 28.6753 -20.168, 28.6753 -20.1696, 28.6709 -20.1719, 28.6725 -20.1747, 28.6768 -20.1762, 28.6745 -20.1802, 28.676 -20.1829, 28.6839 -20.1869, 28.6841 -20.2207, 28.6743 -20.216, 28.6727 -20.2164, 28.6719 -20.2207, 28.6625 -20.2227, 28.6644 -20.2259, 28.6644 -20.2337, 28.6621 -20.2361, 28.6506 -20.227, 28.6404 -20.2267, 28.638 -20.229, 28.6262 -20.2314, 28.6262 -20.2326, 28.6152 -20.231, 28.6097 -20.2302, 28.6075 -20.231))"
"bu Ceshhar Clinic",KrcWT2YvrTQ,"bu Ceshhar Clinic","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/KrcWT2YvrTQ","bu Ceshhar Clinic",
"bu CIMAS",pofi4Agnpb3,"bu CIMAS","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/pofi4Agnpb3","bu CIMAS",
"bu Conaught Health Centre",f1bWlztZ9hc,"bu Conaught Health Centre","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/f1bWlztZ9hc","bu Conaught Health Centre",
"bu Cowdray Park Clinic",bCj2JfVpDwN,"Cowdray Park Clinic","/uLFWBf4qXuv/bWa0xtpCuC2/lIFrKsoRdXv/bCj2JfVpDwN","bu Cowdray Park Clinic",
"bu Dr Shennan Clinic",wBUDmbYlwLg,"Dr Shennan Clinic","/uLFWBf4qXuv/bWa0xtpCuC2/QKOSf6Y7Q3Y/wBUDmbYlwLg","bu Dr Shennan Clinic",
"bu Dr W Ndebele Clinic",rsn7P5OG1qd,"Dr W Ndebele Clinic","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/rsn7P5OG1qd","bu Dr W Ndebele Clinic",
"bu EF Watson Clinic",g6ay6w7LekM,"EF Watson Clinic","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/g6ay6w7LekM","bu EF Watson Clinic",
"bu Emakhandeni Clinic",MdssoEu135X,"Emakhandeni Clinic","/uLFWBf4qXuv/bWa0xtpCuC2/lIFrKsoRdXv/MdssoEu135X","bu Emakhandeni Clinic",
"bu Emakhandeni District",lIFrKsoRdXv,"Emakhandeni District","/uLFWBf4qXuv/bWa0xtpCuC2/lIFrKsoRdXv","bu Emakhandeni District",
"bu Emergency Poly Clinic",FLsRTYO8EVq,"bu Emergency Poly Clinic","/uLFWBf4qXuv/bWa0xtpCuC2/QE95U8rDHjp/FLsRTYO8EVq","bu Emergency Poly Clinic",
